MaterialType,Taxa
炭化材(土中炭片),
炭化材 土留め板？,
炭化材(2片分割),
炭化材(角または丸材),
炭化材（細材）,
炭化材(板材),
"炭化材,樹幹材,",
炭化材(樹木類),
炭化材(小枝),
"炭化材,不明",
炭化材(不明),
炭化材（不明）,
炭化材(部位不明),
炭化材(樹種不明),
炭化材（樹種不明）幹あるいは枝 最終形成年輪を含む5年輪分,
炭化材(不明散孔材),
炭化材(不明環孔材),
炭化材(つる植物),
"炭化材,網代状繊維,",
炭化材(樹皮?),
炭化材（木材）,
炭化材・木材,
"炭化材,木炭,",
炭化材（木炭）,
炭化材(木炭),
炭化材（木炭・住居建築材）,
炭化材（木炭・柱材外周部）,
炭化材（木炭・木釘状の細い枝）,
炭化木材,
炭化（樹皮）,
炭化樹皮,
炭化樹皮（壁材もしくは屋根材）,
炭化建材（消失材）,
炭化建材？,
炭化したスダレ状植物製品,
炭化部材,
炭化小枝,
埴土,
粘土,
粘土質泥炭,
粘土質シルト,
布?土壌?,
石炭,
塗膜片,
塗膜片(漆?),
塗膜,
塗膜(漆?),
塗膜(赤色顔料),
柱材,
柱材（11年輪目）,
柱材（21年輪目）,
柱材（最外縁）,
柱材（最外縁（杭））,
柱材（同定不能）,
曲物側板,
黒褐色泥炭,
黒褐色の土壌,
暗褐色粘土,
暗褐色腐植質シルト土壌,
黒褐色有機質シルト,
暗褐色砂混じり腐植質シルト,
暗褐色シルト,
黒褐色シルト,
黒褐色土壌,
黒褐色土層中の木片,
暗色帯土壌,
暗灰色の土壌,
暗灰色粘土,
暗灰色腐植質泥,
暗灰色腐植質シルト,
暗灰色シルト,
腐食した黒色土,
分解質泥炭,
腐植物,
腐食質粘土,
腐食質土壌,
腐食質砂層,
腐食土,
腐食土壌,
深鉢付着物,
材密集部材,
掘り棒,
乾燥樹皮,
乾燥木材,
流木,
流木片,
土製品付着炭化物,
"土器付着物,",
土器付着物,
土器付着物・底内,
"土器付着物,底部内面",
土器付着物（底部内面）,
"土器付着物,底部外面",
"土器付着物,胴部突帯下",
土器付着物・胴下内面,
土器付着物・胴下部内,
土器付着物(アスファルト?),
"土器付着物,胴部下半下外面（胴中外）",
"土器付着物,胴内面",
土器付着物（胴内面）,
土器付着物（胴部内）,
土器付着物・胴内面,
"土器付着物,胴・内面",
"土器付着物,胴外",
"土器付着物,胴部外面より採取",
"土器付着物,胴部外面",
土器付着物 胴外,
土器付着物（胴部外面）,
土器付着物（胴外面）,
土器付着物（胴外）,
"土器付着物,胴外，胴内",
土器付着物（胴外上面）,
"土器付着物,坏屈曲部",
"土器付着物,鱗茎状,底部内面",
"土器付着物,埋甕",
"土器付着物,焦,",
