"MaterialType" "Materials_Details_EN" "Notes"
"10376" "ウサギ歯" "hare, amami rabbit, pika etc (Lagomorph) tooth" ""
"44111" "ウシ(下顎骨+歯)"  "Needs translation"
"44490" "ウニ(棘)"  "Needs translation"
"36722" "ウマ(上顎歯:歯の内部のエナメル質)" "horse (Equus ferus) upper jaw tooth" ""
"40213" "ウマの歯"  "Needs translation"
"36723" "ウマの臼歯" "horse (Equus ferus) molar tooth" ""
"21075" "ウマ臼歯" "horse (Equus ferus) molar tooth" ""
"16808" "ウマ臼歯 上顎歯牙" "horse (Equus ferus) upper jaw molar tooth" ""
"16809" "ウマ臼歯 左上顎歯牙" "horse (Equus ferus) left upper jaw molar tooth" ""
"17332" "ウメ核" "Japanese apricot (Prunus mume)" ""
"21663" "ウルシ" "poison oak/ivy (Toxicodendron sp.)" ""
"40753" "ウルシ材"  "Needs translation"
"19195" "エゴノキ種子" "seed snowbell tree (Styrax japonica)" ""
"14870" "エノキ" "Japanese hackberry (Celtis sinensis var. japonica)" ""
"22017" "オオタニシ" "pond snail (Viviparidae spp.)​" ""
"7556" "オオノガイ" "soft shell clam (Mya arenaria syn. oonogai)" ""
"43868" "オオムギ"  "Needs translation"
"22567" "オオムギ胚乳" "barley (Hordeum sp.)" ""
"6138" "オキシジミ貝殻" "black clam (Cyclina sinensis) basket clam (Corbiculidae spp.)" ""
"4558" "オニグルミ" "walnut (Juglans ailanthifolia)" ""
"36555" "オニグルミ 殻" "shell walnut (Juglans ailanthifolia)" ""
"11260" "オニグルミ(種子)" "seed walnut (Juglans ailanthifolia)" ""
"14900" "オニグルミ内果皮" "endocarp pericarp walnut (Juglans ailanthifolia)" ""
"35187" "オニグルミ堅果" "nut walnut (Juglans ailanthifolia)" ""
"4622" "オニグルミ核" "walnut (Juglans ailanthifolia)" ""
"23631" "オニグルミ殻" "shell walnut (Juglans ailanthifolia)" ""
"9899" "オニグルミ炭化核" "carbonized walnut (Juglans ailanthifolia)" ""
"9911" "オニグルミ炭化核?" "carbonized walnut (Juglans ailanthifolia)" ""
"44489" "オニノツノガイ科オオシマカニモリ(Clypeomorus subbrevicula)"  "Needs translation"
"27578" "オリーブ色シルト質粘土（貝混じり）" "clay silt shellfish" ""
"16546" "オリーブ褐色土層" "soil layer brown soil" ""
"14869" "カエデ属" "maple (Acer sp.)" ""
"8085" "カガミガイ" "venus clam (Dosinia japonica)" ""
"6097" "カキ" "oysters (Ostreidae)" ""
