"MaterialType" "Materials_Details_EN" "Notes"
"2943" "木材，ウイグルマッチング，クスノキ,内から85層" "material wood C14 wiggle matching sample camphor tree (Cinnamomum camphora)" ""
"1496" "木材，ウイグルマッチング，ムクロジ,外から11年目" "material wood C14 wiggle matching sample from outermost soapberry (Sapindaceae)" ""
"1495" "木材，ウイグルマッチング，ムクロジ,外から1年目" "material wood C14 wiggle matching sample from outermost soapberry (Sapindaceae)" ""
"1497" "木材，ウイグルマッチング，ムクロジ,外から21年目" "material wood C14 wiggle matching sample from outermost soapberry (Sapindaceae)" ""
"1498" "木材，ウイグルマッチング，ムクロジ,外から31年目" "material wood C14 wiggle matching sample from outermost soapberry (Sapindaceae)" ""
"1499" "木材，ウイグルマッチング，ムクロジ,外から41年目" "material wood C14 wiggle matching sample from outermost soapberry (Sapindaceae)" ""
"1500" "木材，ウイグルマッチング，ムクロジ,外から51年目" "material wood C14 wiggle matching sample from outermost soapberry (Sapindaceae)" ""
"3189" "木材，ウイグルマッチング，モミ属,最外11年目" "material wood outermost C14 wiggle matching sample fir (Abies sp.)" ""
"3188" "木材，ウイグルマッチング，モミ属,最外1年目" "material wood outermost C14 wiggle matching sample fir (Abies sp.)" ""
"3190" "木材，ウイグルマッチング，モミ属,最外21年目" "material wood outermost C14 wiggle matching sample fir (Abies sp.)" ""
"2303" "木材，ウイグルマッチング，中心から16年輪" "material wood year ring C14 wiggle matching sample from center" ""
"2304" "木材，ウイグルマッチング，中心から26年輪" "material wood year ring C14 wiggle matching sample from center" ""
"2305" "木材，ウイグルマッチング，中心から36年輪" "material wood year ring C14 wiggle matching sample from center" ""
"2306" "木材，ウイグルマッチング，中心から46年輪" "material wood year ring C14 wiggle matching sample from center" ""
"2302" "木材，ウイグルマッチング，中心から6年輪" "material wood year ring C14 wiggle matching sample from center" ""
"745" "木材，ウイグルマッチング，中間30層目" "material wood C14 wiggle matching sample" ""
"3199" "木材，ウイグルマッチング，最も内側" "material wood C14 wiggle matching sample inside" ""
"747" "木材，ウイグルマッチング，最内60層目" "material wood C14 wiggle matching sample" ""
"3209" "木材，ウイグルマッチング，最内から100層目" "material wood C14 wiggle matching sample from center" ""
"3200" "木材，ウイグルマッチング，最内から10層目" "material wood C14 wiggle matching sample from center" ""
"3210" "木材，ウイグルマッチング，最内から110層目" "material wood C14 wiggle matching sample from center" ""
"3201" "木材，ウイグルマッチング，最内から20層目" "material wood C14 wiggle matching sample from center" ""
"3202" "木材，ウイグルマッチング，最内から30層目" "material wood C14 wiggle matching sample from center" ""
"3203" "木材，ウイグルマッチング，最内から40層目" "material wood C14 wiggle matching sample from center" ""
"3204" "木材，ウイグルマッチング，最内から50層目" "material wood C14 wiggle matching sample from center" ""
"3205" "木材，ウイグルマッチング，最内から60層目" "material wood C14 wiggle matching sample from center" ""
"3206" "木材，ウイグルマッチング，最内から70層目" "material wood C14 wiggle matching sample from center" ""
"3207" "木材，ウイグルマッチング，最内から80層目" "material wood C14 wiggle matching sample from center" ""
"3208" "木材，ウイグルマッチング，最内から90層目" "material wood C14 wiggle matching sample from center" ""
"743" "木材，ウイグルマッチング，最外1層目" "material wood outermost C14 wiggle matching sample" ""
"814" "木材，ウイグルマッチング，最外から1-5" "material wood outermost C14 wiggle matching sample from outermost" ""
"815" "木材，ウイグルマッチング，最外から11-15" "material wood outermost C14 wiggle matching sample from outermost" ""
"2297" "木材，ウイグルマッチング，最外から11年輪" "material wood outermost year ring C14 wiggle matching sample from outermost" ""
"816" "木材，ウイグルマッチング，最外から21-25" "material wood outermost C14 wiggle matching sample from outermost" ""
"2298" "木材，ウイグルマッチング，最外から21年輪" "material wood outermost year ring C14 wiggle matching sample from outermost" ""
"823" "木材，ウイグルマッチング，最外から26-29" "material wood outermost C14 wiggle matching sample from outermost" ""
"820" "木材，ウイグルマッチング，最外から26-30" "material wood outermost C14 wiggle matching sample from outermost" ""
"817" "木材，ウイグルマッチング，最外から31-35" "material wood outermost C14 wiggle matching sample from outermost" ""
"2299" "木材，ウイグルマッチング，最外から31年輪" "material wood outermost year ring C14 wiggle matching sample from outermost" ""
"2300" "木材，ウイグルマッチング，最外から41年輪" "material wood outermost year ring C14 wiggle matching sample from outermost" ""
"2301" "木材，ウイグルマッチング，最外から49年輪" "material wood outermost year ring C14 wiggle matching sample from outermost" ""
"2296" "木材，ウイグルマッチング，最外から5年輪" "material wood outermost year ring C14 wiggle matching sample from outermost" ""
"642" "木材，ウイグルマッチング，外から1-5年輪" "material wood year ring C14 wiggle matching sample from outermost" ""
"2803" "木材，ウイグルマッチング，外から101輪" "material wood C14 wiggle matching sample from outermost" ""
"647" "木材，ウイグルマッチング，外から11-15年輪" "material wood year ring C14 wiggle matching sample from outermost" ""
"3225" "木材，ウイグルマッチング，外から11-20年輪" "material wood year ring C14 wiggle matching sample from outermost" ""
"2665" "木材，ウイグルマッチング，外から111-115年輪" "material wood year ring C14 wiggle matching sample from outermost" ""
"2241" "木材，ウイグルマッチング，外から11年輪" "material wood year ring C14 wiggle matching sample from outermost" ""
"1483" "木材，ウイグルマッチング，外から11年輪目" "material wood year ring C14 wiggle matching sample from outermost" ""
"3228" "木材，ウイグルマッチング，外から121-130年輪" "material wood year ring C14 wiggle matching sample from outermost" ""
"2666" "木材，ウイグルマッチング，外から131-135年輪" "material wood year ring C14 wiggle matching sample from outermost" ""
"3534" "木材，ウイグルマッチング，外から131年輪目" "material wood year ring C14 wiggle matching sample from outermost" ""
"3229" "木材，ウイグルマッチング，外から151-160年輪" "material wood year ring C14 wiggle matching sample from outermost" ""
"649" "木材，ウイグルマッチング，外から16-20年輪" "material wood year ring C14 wiggle matching sample from outermost" ""
"3230" "木材，ウイグルマッチング，外から191-200年輪" "material wood year ring C14 wiggle matching sample from outermost" ""
"1469" "木材，ウイグルマッチング，外から1年輪" "material wood year ring C14 wiggle matching sample from outermost" ""
"3528" "木材，ウイグルマッチング，外から1年輪目" "material wood year ring C14 wiggle matching sample from outermost" ""
"652" "木材，ウイグルマッチング，外から21-25年輪" "material wood year ring C14 wiggle matching sample from outermost" ""
"1470" "木材，ウイグルマッチング，外から21年輪" "material wood year ring C14 wiggle matching sample from outermost" ""
"1484" "木材，ウイグルマッチング，外から21年輪目" "material wood year ring C14 wiggle matching sample from outermost" ""
"3231" "木材，ウイグルマッチング，外から231-240年輪" "material wood year ring C14 wiggle matching sample from outermost" ""
"3541" "木材，ウイグルマッチング，外から26-30年輪" "material wood year ring C14 wiggle matching sample from outermost" ""
"2661" "木材，ウイグルマッチング，外から31-35年輪" "material wood year ring C14 wiggle matching sample from outermost" ""
"1471" "木材，ウイグルマッチング，外から31年輪" "" ""
"1485" "木材，ウイグルマッチング，外から31年輪目" "material wood year ring C14 wiggle matching sample from outermost" ""
"3543" "木材，ウイグルマッチング，外から36-40年輪" "material wood year ring C14 wiggle matching sample from outermost" ""
"3544" "木材，ウイグルマッチング，外から41-45年輪" "material wood year ring C14 wiggle matching sample from outermost" ""
"1472" "木材，ウイグルマッチング，外から41年輪" "material wood year ring C14 wiggle matching sample from outermost" ""
"1486" "木材，ウイグルマッチング，外から41年輪目" "material wood year ring C14 wiggle matching sample from outermost" ""
"2662" "木材，ウイグルマッチング，外から51-55年輪" "material wood year ring C14 wiggle matching sample from outermost" ""
"3226" "木材，ウイグルマッチング，外から51-60年輪" "material wood year ring C14 wiggle matching sample from outermost" ""
"1473" "木材，ウイグルマッチング，外から51年輪" "material wood year ring C14 wiggle matching sample from outermost" ""
"3531" "木材，ウイグルマッチング，外から51年輪目" "material wood year ring C14 wiggle matching sample from outermost" ""
"644" "木材，ウイグルマッチング，外から6-10年輪" "material wood year ring C14 wiggle matching sample from outermost" ""
"1474" "木材，ウイグルマッチング，外から61年輪" "material wood year ring C14 wiggle matching sample from outermost" ""
"3532" "木材，ウイグルマッチング，外から61年輪目" "material wood year ring C14 wiggle matching sample from outermost" ""
"2663" "木材，ウイグルマッチング，外から71-75年輪" "material wood year ring C14 wiggle matching sample from outermost" ""
"2247" "木材，ウイグルマッチング，外から71年輪" "material wood year ring C14 wiggle matching sample from outermost" ""
"2248" "木材，ウイグルマッチング，外から81年輪" "material wood year ring C14 wiggle matching sample from outermost" ""
"3227" "木材，ウイグルマッチング，外から91-100年輪" "material wood year ring C14 wiggle matching sample from outermost" ""
"2664" "木材，ウイグルマッチング，外から91-95年輪" "material wood year ring C14 wiggle matching sample from outermost" ""
"2802" "木材，ウイグルマッチング，外から91年輪" "material wood year ring C14 wiggle matching sample from outermost" ""
"3533" "木材，ウイグルマッチング，外から91年輪目" "material wood year ring C14 wiggle matching sample from outermost" ""
"3916" "木材，ウイグルマッチング，柱材,外から1-5層" "material wood C14 wiggle matching sample from outermost post/pillar" ""
"3925" "木材，ウイグルマッチング，柱材,外から106-110層" "material wood C14 wiggle matching sample from outermost post/pillar" ""
"3926" "木材，ウイグルマッチング，柱材,外から121-125層" "material wood C14 wiggle matching sample from outermost post/pillar" ""
"3917" "木材，ウイグルマッチング，柱材,外から16-20層" "material wood C14 wiggle matching sample from outermost post/pillar" ""
"3919" "木材，ウイグルマッチング，柱材,外から31-35層" "material wood C14 wiggle matching sample from outermost post/pillar" ""
"3920" "木材，ウイグルマッチング，柱材,外から46-50層" "material wood C14 wiggle matching sample from outermost post/pillar" ""
"3921" "木材，ウイグルマッチング，柱材,外から61-65層" "material wood C14 wiggle matching sample from outermost post/pillar" ""
"3923" "木材，ウイグルマッチング，柱材,外から76-80層" "material wood C14 wiggle matching sample from outermost post/pillar" ""
"3924" "木材，ウイグルマッチング，柱材,外から91-95層" "material wood C14 wiggle matching sample from outermost post/pillar" ""
"3802" "木材,ウルシ," "material wood poison oak/ivy (Toxicodendron sp.)" ""
"1488" "木材,クスノキ," "material wood camphor tree (Cinnamomum camphora)" ""
"1491" "木材,クヌギ節," "material wood saw-tooth oak (Quercus acutissima)" ""
"1502" "木材,クリ," "material wood chestnut (Castanea crenata)" ""
"4137" "木材,クリ？," "material wood chestnut (Castanea crenata)" ""
"3191" "木材,コナラ属コナラ亜属コナラ節," "material wood oak (Quercus sp.) Jolcham oak (Quercus serrata)" ""
"3792" "木材,コナラ節," "material wood Jolcham oak (Quercus serrata)" ""
"2729" "木材,ゴヨウマツ,樹皮直下内側最外縁" "material wood bark outermost inside pine (Pinus sp.)" ""
"1501" "木材,サクラ属," "material wood Cherry, plum etc (Cerasus, Prunus etc)" ""
"1953" "木材,スギ," "material wood Japanese cedar (Cryptomeria japonica)" ""
"1955" "木材,スギ,中心から180年輪目" "material wood year ring from center Japanese cedar (Cryptomeria japonica)" ""
"1959" "木材,スギ,中心から202年輪目" "material wood year ring from center Japanese cedar (Cryptomeria japonica)" ""
"1956" "木材,スギ,中心から230年輪目" "material wood year ring from center Japanese cedar (Cryptomeria japonica)" ""
"1958" "木材,スギ,外から140年輪目" "material wood year ring from outermost Japanese cedar (Cryptomeria japonica)" ""
"1957" "木材,スギ,外から190年輪目" "material wood year ring from outermost Japanese cedar (Cryptomeria japonica)" ""
"2694" "木材,タケ,胴外" "material wood outside bamboo (Bambusoideae)" ""
"3787" "木材,ニレ属," "material wood Elm (Ulmus sp.)" ""
"1432" "木材,ヒノキ," "material wood hinoki cypress (Chamaecyparis obtusa)" ""
"1489" "木材,ムクノキ,外から1年目" "material wood from outermost oriental elm (Aphananthe aspera)" ""
"3788" "木材,ヤマグワ," "material wood Chinese mulberry (Morus australis syn bombycis)" ""
"2712" "木材,不明" "unknown material wood" ""
"2716" "木材,不明,不明" "unknown material wood" ""
"750" "木材,内側" "material wood inside" ""
"3658" "木材,内周" "material wood" ""
"3274" "木材,最外" "material wood outermost" ""
"1458" "木材,最外縁" "material wood outermost" ""
"3602" "木材,外から2年輪" "material wood year ring from outermost" ""
"749" "木材,外側" "material wood" ""
"3659" "木材,外周" "material wood" ""
"3275" "木材,外皮付き最外" "material wood outermost" ""
"2707" "木材,広葉樹,樹皮直下内側最外縁" "material wood bark outermost inside hardwood" ""
"4111" "木材,木胎" "material wood" ""
"247" "木材,木胎部" "material wood" ""
"552" "木材,木製品柄" "material wood wooden items" ""
"3193" "木材,板材最外縁" "material wood outermost plank" ""
"2039" "木材,表面5年輪" "material wood year ring" ""
"3648" "木材,裏面" "material wood" ""
"2721" "木材,針葉樹（スギ）,不明" "unknown material wood Coniferae Japanese cedar (Cryptomeria japonica)" ""
"38628" "木材：アカメガシワ" "material wood, Japanese mallotus (Mallotus japonicus)" ""
"38636" "木材：クスノキ科" "material wood, Lauraceae camphor tree (Cinnamomum camphora)" ""
"38630" "木材：コナラ属アカガシ亜属" "material wood, ring-cupped oaks (Quercus subgenus Cyclobalanopsis)" ""
"38631" "木材：ツガ属" "material wood, Tsuga (Tsuga sp.) tsuga (Tsuga sp.) " ""
"38627" "木材：ネジキ" "material wood, nejiki (Lyonia ovalifolia)" ""
"38629" "木材：マツ属複維管束亜属" "material wood, pine (Pinus sp.) subgen compound vascular" ""
"38632" "木材：ムクノキ" "material wood, oriental elm (Aphananthe aspera)" ""
"24575" "木材(アオキ)" "material wood Spotted laurel (Aucuba japonica)" ""
"7851" "木材(アカガシ亜属)" "material wood Japanese evergreen oak (Quercus acuta)" ""
"37232" "木材（アカガシ亜属）" "material wood, ring-cupped oaks (Quercus subgenus Cyclobalanopsis)" ""
"13848" "木材(アカマツ)" "material wood pine (Pinus sp.)" ""
"24561" "木材(アカメガシワ)" "material wood Japanese mallotus (Mallotus japonicus)" ""
"19749" "木材(アサダ)" "material wood East Asian hornbeam (Ostrya japonica)" ""
"10124" "木材(アスナロ)" "material wood hatchet-leaved arbor-vitae (Thujopsis dolabrata)" ""
"24319" "木材(アワブキ属)" "material wood Awabuki (Meliosma myriantha)" ""
"14171" "木材(イイギリ属)" "material wood Īgiri tree (Idesia polycarpa)" ""
"28267" "木材(イスノキ)" "material wood winter hazel (Dictylium racemosum)" ""
"28591" "木材(イスノキ）" "material wood winter hazel (Dictylium racemosum)" ""
"27608" "木材（イスノキ）" "material wood winter hazel (Dictylium racemosum)" ""
"28560" "木材(イチイガシ)" "material wood red bark oak (Quercus gilva)" ""
"8040" "木材(イヌエンジュ)" "material wood Amur maackia (Maackia amurensis)" ""
"35834" "木材（イヌエンジュ）" "material wood Amur maackia (Maackia amurensis)" ""
"4819" "木材(イヌガヤ)" "material wood plum yew (Cephalotaxus harringtonia)" ""
"37577" "木材（イヌガヤ）" "material wood, plum yew (Cephalotaxus harringtonia)" ""
"14951" "木材(イヌシデ節)" "material wood Chonowski's hornbeam (Carpinus tschonoskii)" ""
"32910" "木材(イヌビワ属)" "material wood" ""
"16792" "木材(イネ科)" "material wood Poaceae" ""
"16158" "木材(ウツギ属)" "material wood deutzia (Deutzia sp.)" ""
"7263" "木材(ウメ)" "material wood" ""
"20601" "木材(ウメorモモ)" "material wood peach (Amygdalus persica syn. Prunus)" ""
"6744" "木材(ウルシ)" "material wood poison oak/ivy (Toxicodendron sp.)" ""
"16164" "木材(エゴノキ属)" "material wood snowbell tree (Styrax sp.)" ""
"14333" "木材(エゴノキ科エゴノキ属)" "material wood snowbell tree (Styrax sp.)" ""
"16166" "木材(エノキ属)" "material wood hackberry (Celtis sp.)" ""
"14072" "木材(オニグルミ)" "material wood walnut (Juglans ailanthifolia)" ""
"6660" "木材(カエデ属)" "material wood maple (Acer sp.)" ""
"24568" "木材(カキノキ属)" "material wood Persimmon (Diospyros sp.)" ""
"37871" "木材（カシ）" "material wood, Oaks - Quercoideae (Quercus / Castanopsis / Lithocarpus / Cyclobalanopsis)" ""
"30651" "木材(カシ類)" "material wood oaks (Quercus subgen. Cyclobalanopsis)" ""
"10234" "木材(カツラ)" "material wood katsura (Cercidiphyllum japonicum)" ""
"20051" "木材(カツラ属)" "material wood katsura (Cercidiphyllum japonicum)" ""
"20602" "木材(カバノキ属)" "material wood birch (Betula sp.)" ""
"14977" "木材(ガマズミ属)" "material wood Viburnum (Viburnum sp.)" ""
"28259" "木材(カマツカ)" "material wood pine (Pinus sp.)" ""
"6135" "木材(カヤ)" "material wood Japanese nutmeg tree​ (Torreya nucifera)" ""
"37579" "木材（カヤ）" "material wood, Japanese nutmeg tree​ (Torreya nucifera)" ""
"19626" "木材(カラスザンショウ)" "material wood ailanthus-like prickly ash (Zanthoxylum ailanthoides)" ""
"10287" "木材(カラマツ属)" "material wood larch (Larix sp.)" ""
"6735" "木材(キハダ)" "material wood amur cork (Phellodendron)" ""
"15674" "木材(キハダ属)" "material wood amur cork (Phellodendron)" ""
"28288" "木材(クスノキ)" "material wood camphor tree (Cinnamomum camphora)" ""
"39019" "木材（クスノキ）" "material wood, camphor tree (Cinnamomum camphora)" ""
"21434" "木材(クスノキ科)" "material wood Lauraceae camphor tree (Cinnamomum camphora)" ""
"39008" "木材（クスノキ科）" "material wood, Lauraceae camphor tree (Cinnamomum camphora)" ""
"6662" "木材(クヌギ節)" "material wood saw-tooth oak (Quercus acutissima)" ""
"39022" "木材（クヌギ節）" "material wood, saw-tooth oak (Quercus acutissima)" ""
"21506" "木材(クマシデ属)" "material wood hornbeam (Carpinus sp.)" ""
"20639" "木材(クマシデ属イヌシデ節)" "material wood Chonowski's hornbeam (Carpinus tschonoskii)" ""
"38325" "木材（クマシデ属イヌシデ節）" "material wood, Chonowski's hornbeam (Carpinus tschonoskii) hornbeam (Carpinus sp.)" ""
"43204" "木材(クマシデ属イヌワシ節)"  "Needs translation"
"18469" "木材(クマノミズキ類)" "material wood dogwood (Cornus controversa) dogwood (Cornus macrophylla)" ""
"16136" "木材(クマヤナギ属)" "material wood willow (Salix sp.)" ""
"37584" "木材（クリ、年輪20、倒木）" "20 annual rings from fallen tree, chestnut (Castanea crenata)" ""
"4891" "木材(クリ)" "material wood chestnut (Castanea crenata)" ""
"5222" "木材(クリ）" "material wood chestnut (Castanea crenata)" ""
"27807" "木材（クリ）" "material wood chestnut (Castanea crenata)" ""
"37303" "木材（クリ）最外部の年輪" "material wood outermost year ring, chestnut (Castanea crenata)" ""
"24564" "木材(クリ近似種)" "material wood or similar chestnut (Castanea crenata)" ""
"18905" "木材(クルミ属)" "material wood walnut (Juglans)" ""
"14065" "木材(クロマツ)" "material wood pine (Pinus sp.)" ""
"10123" "木材(クワ属)" "material wood mullberry (Morus sp.)" ""
"18346" "木材(クワ科クワ属)" "material wood mullberry (Morus sp.)" ""
"5226" "木材(ケヤキ)" "material wood Japanese zelkova (Zelkowa serrata)" ""
"37581" "木材（ケヤキ）" "material wood, Japanese zelkova (Zelkowa serrata)" ""
"23217" "木材(ケンポナシ)" "material wood Japanese raisin tree (Hovenia sp.)" ""
"7629" "木材(ケンポナシ属)" "material wood Japanese raisin tree (Hovenia sp.)" ""
"23657" "木材(コウヤマキ)" "material wood Japanese umbrella pine (Sciadopitys verticillata)" ""
"19487" "木材(コナラ)" "material wood oak (Quercus sp.) / ?Jolcham Oak (Quercus serrata)" ""
"7644" "木材(コナラ亜属)" "material wood oak (Quercus sp.) / ?Jolcham Oak (Quercus serrata)" ""
"8018" "木材(コナラ亜属クヌギ節)" "material wood saw-tooth oak (Quercus acutissima) oak (Quercus sp.) / ?Jolcham Oak (Quercus serrata)" ""
"4553" "木材(コナラ属)" "material wood oak (Quercus sp.)" ""
"37583" "木材（コナラ属アカガシ亜属、年輪30<、立株）" "annual ring <30 years, ring-cupped oaks (Quercus subgenus Cyclobalanopsis)" ""
"37587" "木材（コナラ属アカガシ亜属、年輪64<、立株）" "<64 year annual rings from tree, ring-cupped oaks (Quercus subgenus Cyclobalanopsis)" ""
"37586" "木材（コナラ属アカガシ亜属、年輪80<、倒木）" "<80 year annual rings from fallen tree, ring-cupped oaks (Quercus subgenus Cyclobalanopsis)" ""
"37585" "木材（コナラ属アカガシ亜属、年輪95、倒木）" "95 annual rings from fallen tree, ring-cupped oaks (Quercus subgenus Cyclobalanopsis)" ""
"17315" "木材(コナラ属アカガシ亜属)" "material wood oak (Quercus sp.) Japanese evergreen oak (Quercus acuta)" ""
"37519" "木材（コナラ属アカガシ亜属）" "material wood, ring-cupped oaks (Quercus subgenus Cyclobalanopsis)" ""
"39009" "木材（コナラ属クヌギ科）" "material wood, oak (Quercus) saw-tooth oak (Quercus acutissima) Jolcham oak (Quercus serrata)" ""
"4934" "木材(コナラ属クヌギ節)" "material wood oak (Quercus sp.) saw-tooth oak (Quercus acutissima)" ""
"4694" "木材(コナラ属コナラ亜属)" "material wood oak (Quercus sp.)" ""
"21272" "木材(コナラ属コナラ亜属クヌギ)" "material wood oak (Quercus sp.) saw-tooth oak (Quercus acutissima)" ""
"7188" "木材(コナラ属コナラ亜属クヌギ節)" "material wood oak (Quercus sp.) saw-tooth oak (Quercus acutissima)" ""
"37647" "木材（コナラ属コナラ亜属クヌギ節）" "material wood, oak (Quercus) saw-tooth oak (Quercus acutissima) Jolcham oak (Quercus serrata)" ""
"5998" "木材(コナラ属コナラ亜属コナラ節)" "material wood oak (Quercus sp.) Jolcham oak (Quercus serrata)" ""
"37515" "木材（コナラ属コナラ亜属コナラ節）" "material wood, oak (Quercus) Jolcham oak (Quercus serrata)" ""
"39011" "木材（コナラ属コナラ科）" "material wood, oak (Quercus) Jolcham oak (Quercus serrata)" ""
"6919" "木材(コナラ属コナラ節)" "material wood oak (Quercus sp.) Jolcham oak (Quercus serrata)" ""
"6734" "木材(コナラ節)" "material wood Jolcham oak (Quercus serrata)" ""
"37224" "木材（コナラ節）" "material wood, Jolcham oak (Quercus serrata)" ""
"7848" "木材(ゴヨウマツ)" "material wood pine (Pinus sp.)" ""
"22792" "木材(サイカチ近似種)" "material wood or similar honey locust (Gleditsia sp.)​ honey locust (Gleditsia japonica)​" ""
"28680" "木材(サカキ)" "material wood Sakaki (Cleyera japonica)" ""
"30660" "木材(サクラ属､17年輪目)" "material wood year ring Cherry, plum etc (Cerasus, Prunus etc)" ""
"30659" "木材(サクラ属､1年輪目)" "material wood year ring Cherry, plum etc (Cerasus, Prunus etc)" ""
"14105" "木材(サクラ属)" "material wood Cherry, plum etc (Cerasus, Prunus etc)" ""
"39032" "木材（サクラ属）" "material wood, Cherry, plum etc (Cerasus, Prunus etc) cherry (Cerasus sp.)" ""
"10233" "木材(サワグルミ)" "material wood walnut (Juglans sp.)" ""
"19242" "木材(サワラ)" "material wood sawara cypress (Chamaecyparis pisifera)" ""
"29164" "木材(シイ属)" "material wood chinquapin (Castanopsis sp.)" ""
"27609" "木材（シイ属）" "material wood chinquapin (Castanopsis sp.)" ""
"21601" "木材(シキミ)" "material wood Japanese star anise (Illicum religiosum)" ""
"32913" "木材(シャシャンボ)" "material wood sea bilberry (Vaccinium bracteatum)​" ""
"37653" "木材（シャシャンボ）" "material wood, sea bilberry (Vaccinium bracteatum)​" ""
"9093" "木材(スギ)" "material wood Japanese cedar (Cryptomeria japonica)" ""
"43391" "木材(ススキ属の葉茎)"  "Needs translation"
"6187" "木材(スダジイ)" "material wood Itajii tree (Castanopis sieboldi)" ""
"28786" "木材(センダン)" "material wood chinaberry tree (Melia azedarach)" ""
"24565" "木材(タイミンタチバナ)" "material wood colicwood (Myrsine seguinii)" ""
"36708" "木材(タケ亜科)" "material wood bamboo (Bambusoideae)" ""
"24991" "木材(タブノキ)" "material wood Japanese bay tree (Machilus thunbergii)" ""
"27607" "木材（タブノキ）" "material wood Japanese bay tree (Machilus thunbergii)" ""
"30962" "木材(タブノキ属)" "material wood bay tree (Machilus sp.)" ""
"22793" "木材(ツガ)" "material wood tsuga (Tsuga sp.)" ""
"21274" "木材(ツバキ属)" "material wood camellia (Camellia sp.)" ""
"37516" "木材（ツバキ属）" "material wood, camellia (Camellia sp.) common camellia (Camellia japonica)" ""
"24563" "木材(ツブラジイ)" "material wood Japanese Chinquapin (Castanopsis cuspidata)" ""
"27616" "木材（ツブラジイ）" "material wood Japanese Chinquapin (Castanopsis cuspidata)" ""
"23220" "木材(ツワラ)" "material wood straw" ""
"4748" "木材(トウヒ属)" "material wood spruce (Picea sp.)" ""
"37650" "木材（トウヒ属）" "material wood, Spruce (Picea sp.) ezo spruce (Picea jezoensis)" ""
"37582" "木材（トチノキ、年輪42<、立株）" "annual ring <42 years, horse chestnut (Aesculus turbinata)" ""
"13557" "木材(トチノキ)" "material wood horse chestnut (Aesculus turbinata) Aesculus??" ""
"8436" "木材(トチノキとアカガシ亜属)" "material wood horse chestnut (Aesculus turbinata) Japanese evergreen oak (Quercus acuta) Aesculus??" ""
"5602" "木材(トネリコ属)" "material wood Ash (Fraxinus sp.)" ""
"35833" "木材（トネリコ属）" "material wood Ash (Fraxinus sp.)" ""
"6930" "木材(トネリコ属シオジ節)" "material wood Ash (Fraxinus sp.) Ash (Fraxinus platypoda)" ""
"18645" "木材(トネリコ属の一種)" "material wood Ash (Fraxinus sp.)" ""
"18517" "木材(トネリコ属近似種)" "material wood or similar Ash (Fraxinus sp.)" ""
"20640" "木材(ナナカマド属)" "material wood Sorbus (Sorbus sp.)" ""
"13674" "木材(ナラ類)" "material wood oaks" ""
"16084" "木材(ニガキ)" "material wood bitterwood (Picrasma quassioides)​" ""
"6729" "木材(ニレ属)" "material wood Elm (Ulmus sp.)" ""
"37576" "木材（ニワトコ）" "material wood, elderberry (Sambucus sp.)" ""
"21169" "木材(ヌルデ)" "material wood Chinese sumac (Brucea javanica syn. Rhus)​" ""
"32911" "木材(ネジキ)" "material wood nejiki (Lyonia ovalifolia)" ""
"19936" "木材(ネズコ)" "material wood Japanese arborvitae (Thuja standishii)​" ""
"30699" "木材(ノグルミ)" "material wood walnut (Juglans sp.)" ""
"32904" "木材(ハイノキ属ハイノキ節)" "material wood hainoki (Symplocos sp.)" ""
"31028" "木材(ハイノキ節)" "material wood hainoki (Symplocos sp.)" ""
"31017" "木材(バラ属)" "material wood rose (Rosa sp.)" ""
"20713" "木材(バラ属）" "material wood rose (Rosa sp.)" ""
"18516" "木材(バラ科ナシ亜科)" "material wood Rosaceae Pear (Pyrus)=Maleae subfamily" ""
"10231" "木材(ハリギリ)" "material wood castor aralia (Kalopanax septemlobus)" ""
"37007" "木材(ハンノキ)" "material wood Japanese alder (Alnus japonica)​" ""
"7796" "木材(ハンノキ亜属)" "material wood Japanese alder (Alnus japonica)​" ""
"7317" "木材(ハンノキ属)" "material wood alder (Alnus sp.)​" ""
"30361" "木材(ハンノキ属の一種)" "material wood alder (Alnus sp.)​" ""
"8623" "木材(ハンノキ属ハンノキ亜属?)" "material wood Japanese alder (Alnus japonica)​ alder (Alnus sp.)​" ""
"6898" "木材(ハンノキ属ハンノキ亜属)" "material wood Japanese alder (Alnus japonica)​ alder (Alnus sp.)​" ""
"19956" "木材(ハンノキ属ヤシャブシ亜属)" "material wood alder (Alnus sp.)​ alder yashabushi (Alnus firma)" ""
"8226" "木材(ハンノキ節)" "material wood Japanese alder (Alnus japonica)​" ""
"30466" "木材(ヒサカキ)" "material wood Sakaki (Cleyera japonica)" ""
"30465" "木材(ヒサカキ）" "material wood Sakaki (Cleyera japonica)" ""
"23967" "木材(ヒトツバタゴ)" "material wood Chinese fringe tree (Chionanthus retusus)​" ""
"4933" "木材(ヒノキ)" "material wood hinoki cypress (Chamaecyparis obtusa)" ""
"37443" "木材（ヒノキ）" "material wood, hinoki cypress (Chamaecyparis obtusa)" ""
"6658" "木材(ヒノキ属)" "material wood cypress (Chamaecyparis sp.)" ""
"7020" "木材(ヒノキ属の一種)" "material wood cypress (Chamaecyparis sp.)" ""
"5700" "木材(ヒノキ科)" "material wood hinoki cypress (Chamaecyparis obtusa)" ""
"17379" "木材(ブナ)" "material wood beech (Fagaceae)" ""
"9684" "木材(ブナ属)" "material wood beech (Fagus sp.)" ""
"27949" "木材(ホルトノキ属)" "material wood horutonoki tree (Elaeocarpus sylvestris var. ellipticus)" ""
