MaterialType,Taxa
木材，ウイグルマッチング，36〜39,
木材，ウイグルマッチング，-20,
木材，ウイグルマッチング，45,
木材，ウイグルマッチング，-90,
木材，ウイグルマッチング，1,
木材，ウイグルマッチング，31,
木材，ウイグルマッチング，61,
木材，ウイグルマッチング，41,
"土器付着物,胴部外面",
"土器付着物,煤,口縁部外面",
"土器付着物,煤,口～胴外面",
"土器付着物,煮焦げ,胴部内面（胴下位内面）",
"土器付着物,煤,胴部上位外面（胴上外）",
"土器付着物,煤,頸部外面",
"土器付着物,胴部下位内面",
"土器付着物,坏部内面",
"土器付着物,煮焦げ,坏部内面",
"土器付着物,口縁部下外面（口外）",
"土器付着物,胴部下半下外面（胴中外）",
"土器付着物,炭化物,胴部外面",
"土器付着物,煮焦げ,胴内面",
"土器付着物,炭化物,胴部上位・外面",
"土器付着物,炭化物,口縁外面",
木材，ウイグルマッチング，最外から1-5,
木材，ウイグルマッチング，最外から11-15,
木材，ウイグルマッチング，最外から21-25,
木材，ウイグルマッチング，最外から31-35,
木材，ウイグルマッチング，最外から26-30,
木材，ウイグルマッチング，最外から26-29,
"土器付着物,煤,",
"土器付着物,煤,胴部外面",
"骨,クジラ,",Artiodactyla
"骨,オットセイ,",Callorhinus ursinus
"骨,ヒト,肋骨",Homo sapiens
"骨,獣骨,LM",Mammalia
"骨,獣骨,SM",Animalia (bone)
"骨,魚骨,顎骨",Animalia (fish)
"骨,魚骨,椎骨",Animalia (fish)
"骨,イルカ,椎骨",Delphinidae
"骨,獣骨,不明",Animalia (bone)
"炭化材,ブドウ科,",Vitaceae
"炭化材,モミ属,",Abies sp.
"炭化材,広葉樹,",Angliosperms
"貝,ウバガイ,",Spisula sachalinensis
"貝,サラガイ,",Megangulus venulosus
"貝,カキ,",Diospyros kaki
"貝,オオノガイ？,",Mya arenaria
"漆,漆膜,胴外",
"土器付着物,口縁内",
"種実,クリ,子葉",Castanea crenata
"土器付着物,底部外面",
"土器付着物,煤,口縁内",
"骨,ヒト,",Homo sapiens
"骨,スズキ,歯骨R",Lateolabrax japonicus
"骨,オットセイ,上腕骨R",Callorhinus ursinus
"骨,タラ,",Gadus chalcogrammus
"骨,シカ,距骨R",Cervidae
"骨,オットセイ,大腿骨R",Callorhinus ursinus
"骨,ヒト,指骨",Homo sapiens
"骨,人骨・上腕",Homo sapiens
"種実,ブドウ科,",Vitaceae
"種実,クルミ属,",Juglans sp.
"種実,キビ,",Panicum miliaceum
"種実,",Plantae (seed)
"種実,キビ属,",Panicum sp.
"種実,アワ,",Setaria italica
"漆,口縁内",
"土器付着物,胴部内面",
"土器付着物,口縁部内面",
"土器付着物,胴部突帯下",
"土器付着物,胴部上位",
"木材,ヒノキ,",Chamaecyparis obtusa
"土器付着物,吹,胴外",
"土器付着物,吹,口縁外・胴外",
"土器付着物,吹,",
"土器付着物,不明,不明",
"木材,最外縁",
木材，ウイグルマッチング，外から1年輪,
木材，ウイグルマッチング，外から21年輪,
木材，ウイグルマッチング，外から31年輪,
木材，ウイグルマッチング，外から41年輪,
木材，ウイグルマッチング，外から51年輪,
木材，ウイグルマッチング，外から61年輪,
木材，ウイグルマッチング，,
木材，ウイグルマッチング，1年輪目,
木材，ウイグルマッチング，外から11年輪目,
木材，ウイグルマッチング，外から21年輪目,
木材，ウイグルマッチング，外から31年輪目,
木材，ウイグルマッチング，外から41年輪目,
"木材,クスノキ,",Cinnamomum camphora
"木材,ムクノキ,外から1年目",Aphananthe aspera
"木材,クヌギ節,",Quercus section Cerris [acutissima]
"木材，ウイグルマッチング，ムクロジ,外から1年目",Sapindus mukorossi
"木材，ウイグルマッチング，ムクロジ,外から11年目",Sapindus mukorossi
"木材，ウイグルマッチング，ムクロジ,外から21年目",Sapindus mukorossi
"木材，ウイグルマッチング，ムクロジ,外から31年目",Sapindus mukorossi
"木材，ウイグルマッチング，ムクロジ,外から41年目",Sapindus mukorossi
"木材，ウイグルマッチング，ムクロジ,外から51年目",Sapindus mukorossi
"木材,サクラ属,",Cerasus sp.
"木材,クリ,",Castanea crenata
"土器付着物,吹,胴外中",
"骨,アシカ,",Otariinae
"骨,人骨,助骨,SK-3-♀",Homo sapiens
"骨,人骨,助骨,SK-30-♂",Homo sapiens
"骨,人骨,助骨,SK-84-♀",Homo sapiens
"土器付着物,煤（アスファルト？）,胴外",
"土器付着物,焦,口縁内,胴内",
"漆,赤漆,口縁外・内",
"土器付着物,焦：米粒痕,胴内",Oryza sativa
"土器付着物,焦：米粒,胴内",Oryza sativa
"骨,シカ,右距骨",Cervidae
"骨,シカ,左距骨",Cervidae
"骨,シカ,基節骨",Cervidae
"貝,サルボウ,",Anadara kagoshimensis
"漆,漆膜,口縁内",
"土器付着物,煤,口外",
"土器付着物,焦,口内",
"土器付着物,焦,口外",
"土器付着物,煤,口内",
"土器付着物,焦,口縁内，胴内",
"土器付着物,焦,口縁外・胴外",
"種実,クリ？,",Castanea crenata
"種実,不明,",Plantae (seed)
"漆,アスファルト？,底部内面",
"漆,胴内下",
"漆,生漆,口縁内",
"土器付着物,煤,胴外中上",
"漆,漆膜,底部内面",
"土器付着物,煤，吹,口縁外,胴外中",
"土器付着物,焦,口胴内",
"土器付着物,吹,口胴外",
"土器付着物,焦,口縁外・口縁内・胴内",
"土器付着物,焦,口縁外，胴内",
"漆,漆？,胴内全",
"土器付着物,焦,口縁内下，胴内中",
"土器付着物,頸部",
"土器付着物,口縁下",
"土器付着物,煤状,胴外",
"土器付着物,吹?,口縁外・胴外",
"土器付着物,吹?,胴外",
"土器付着物,吹,胴内",
"土器付着物,鱗茎状,底部内面",
"木材,スギ,",Cryptomeria japonica
"木材,スギ,中心から180年輪目",Cryptomeria japonica
"木材,スギ,中心から230年輪目",Cryptomeria japonica
"木材,スギ,外から190年輪目",Cryptomeria japonica
"木材,スギ,外から140年輪目",Cryptomeria japonica
"木材,スギ,中心から202年輪目",Cryptomeria japonica
"土器付着物,吹,口縁部外面",
"土器付着物,煮焦げ,底部内面",
"土器付着物,吹,胴部外面",
"土器付着物,焦,胴外下",
"土器付着物,焦,胴外上",
"土器付着物,吹,口縁外上",
"土器付着物,不明,",
"木材,表面5年輪",
"その他,植物繊維,",
"木材，ウイグルマッチング，クスノキ,",Cinnamomum camphora
"炭化材,炭,",
"種実,ホルトノキ,",Elaeocarpus decipiens
"土器付着物,吹,口縁外・胴外下",
"貝,ハマグリ,R",Meretrix lusoria
"貝,シオフキ,R",Mactra veneriformis
"貝,カガミガイ,R",Dosinia [Phacosoma] japonicum
"土器付着物,煤,屈曲部外面",
"土器付着物,吹,頸部外面",
