"Material_Classification","Material_Details_JPN","inconsistent","Materials_Details_EN","Materials_Detail_Identification_EN","Materials_Detail_Other_EN","Materials_Detail_Notes_EN"
"Charred Remain","炭化材(マツ属複維管束亜属の一種)",0,"carbonized material pine (Pinus sp.) subgen compound vascular","pine (Pinus sp.) subgen compound vascular","carbonized material",""
"Charred Remain","炭化材(マツ科)",0,"carbonized material pine (Pinus sp.)","pine (Pinus sp.)","carbonized material",""
"Charred Remain","炭化材(マツ科マツ属)",0,"carbonized material pine (Pinus sp.)","pine (Pinus sp.)","carbonized material",""
"Charred Remain","炭化材(マツ複維管属亜属)",0,"carbonized material pine (Pinus sp.) subgen compound vascular","pine (Pinus sp.) subgen compound vascular","carbonized material",""
"Charred Remain","炭化材(マツ複維管束亜属)",0,"carbonized material pine (Pinus sp.) subgen compound vascular","pine (Pinus sp.) subgen compound vascular","carbonized material",""
"Charred Remain","炭化材(マテバシイ)",0,"carbonized material stone oak (Lithocarpus edulis)chinquapin (Castanopsis)","stone oak (Lithocarpus edulis)chinquapin (Castanopsis)","carbonized material",""
"Charred Remain","炭化材(マメ科サイカチ属サイカチ)",0,"carbonized material Fabaceae honey locust (Gleditsia sp.)​ honey locust (Gleditsia japonica)​ legume (Fabaceae)","Fabaceae honey locust (Gleditsia sp.)​ honey locust (Gleditsia japonica)​ legume (Fabaceae)","carbonized material",""
"Charred Remain","炭化材(マンサク属)",0,"carbonized material witch-hazel (Hamamelis sp.)​","witch-hazel (Hamamelis sp.)​","carbonized material",""
"Charred Remain","炭化材(ミカン科キハダ属キハダ)",0,"carbonized material amur cork (Phellodendron)","amur cork (Phellodendron)","carbonized material",""
"Charred Remain","炭化材(ミズキ、モミ属)",0,"carbonized material fir (Abies sp.) dogwood (Cornus controversa)","fir (Abies sp.) dogwood (Cornus controversa)","carbonized material",""
"Charred Remain","炭化材(ミズキ属?)",0,"carbonized material dogwood (Cornus controversa)","dogwood (Cornus controversa)","carbonized material",""
"Charred Remain","炭化材(ミズキ属)",0,"carbonized material dogwood (Cornus controversa)","dogwood (Cornus controversa)","carbonized material",""
"Charred Remain","炭化材(ミツバウツギ科)",0,"carbonized material Staphyleaceae bridal wreath (Deutzia crenata)","Staphyleaceae bridal wreath (Deutzia crenata)","carbonized material",""
"Charred Remain","炭化材(ムクノキ)",0,"carbonized material oriental elm (Aphananthe aspera)","oriental elm (Aphananthe aspera)","carbonized material",""
"Charred Remain","炭化材(ムクノキ•2年輪)",0,"carbonized material year ring oriental elm (Aphananthe aspera)","oriental elm (Aphananthe aspera)","carbonized material year ring",""
"Charred Remain","炭化材(ムクロジ)",0,"carbonized material soapberry (Sapindaceae)","soapberry (Sapindaceae)","carbonized material",""
"Charred Remain","炭化材(ムクロジ近似種)",0,"carbonized material or similar soapberry (Sapindaceae)","soapberry (Sapindaceae)","carbonized material or similar",""
"Charred Remain","炭化材(ムラサキシキブ属)",0,"carbonized material beautyberry (Callicarpa sp.)","beautyberry (Callicarpa sp.)","carbonized material",""
"Charred Remain","炭化材(メダケ属ネザサ節)",0,"carbonized material Simon bamboo (Pleioblastus sp.)​ Nezasa bamboo (Pleioblastus viridistriatus)","Simon bamboo (Pleioblastus sp.)​ Nezasa bamboo (Pleioblastus viridistriatus)","carbonized material",""
"Charred Remain","炭化材(モクレン)",0,"carbonized material magnolia (Magnolia sp.)","magnolia (Magnolia sp.)","carbonized material",""
"Charred Remain","炭化材(モクレン属、イネ科タケ亜科)",0,"carbonized material Poaceae bamboo (Bambusoideae) magnolia (Magnolia sp.)","Poaceae bamboo (Bambusoideae) magnolia (Magnolia sp.)","carbonized material",""
"Charred Remain","炭化材(モクレン属)",0,"carbonized material magnolia (Magnolia sp.)","magnolia (Magnolia sp.)","carbonized material",""
"Charred Remain","炭化材(モクレン科モクレン属)",0,"carbonized material magnolia (Magnolia sp.)","magnolia (Magnolia sp.)","carbonized material",""
"Charred Remain","炭化材(モチノキ属)",0,"carbonized material holly (Ilex sp.)","holly (Ilex sp.)","carbonized material",""
"Charred Remain","炭化材(モチノキ科モチノキ属)",0,"carbonized material holly (Ilex sp.)","holly (Ilex sp.)","carbonized material",""
"Charred Remain","炭化材(モミ属)",0,"carbonized material fir (Abies sp.)","fir (Abies sp.)","carbonized material",""
"Charred Remain","炭化材（モミ属） 樹種同定白滝-84と同一個体",0,"carbonized material fir (Abies sp.)","fir (Abies sp.)","carbonized material",""
"Charred Remain","炭化材(モモ)",0,"carbonized material peach (Amygdalus persica syn. Prunus)","peach (Amygdalus persica syn. Prunus)","carbonized material",""
"Charred Remain","炭化材(ヤクシマサルスベリ)",0,"carbonized material Yakushima crape myrtle (Lagerstroemia indica or subcostata var. fauriei)​","Yakushima crape myrtle (Lagerstroemia indica or subcostata var. fauriei)​","carbonized material","My guess is that this is Lagerstroemia subcosta var. fauriei from Yakushima Island?"
"Charred Remain","炭化材（ヤナギ）",0,"carbonized material willow (Salix sp.)","willow (Salix sp.)","carbonized material",""
"Charred Remain","炭化材(ヤナギ属、コナラ属コナラ亜属コナラ節、クリ、トネリコ属)",0,"carbonized material chestnut (Castanea crenata) oak (Quercus sp.) Jolcham oak (Quercus serrata) Ash (Fraxinus sp.) willow (Salix sp.)","chestnut (Castanea crenata) oak (Quercus sp.) Jolcham oak (Quercus serrata) Ash (Fraxinus sp.) willow (Salix sp.)","carbonized material",""
"Charred Remain","炭化材(ヤナギ属、モクレン属)",0,"carbonized material magnolia (Magnolia sp.) willow (Salix sp.)","magnolia (Magnolia sp.) willow (Salix sp.)","carbonized material",""
"Charred Remain","炭化材（ヤナギ属(4)）",0,"carbonized material willow (Salix sp.)","willow (Salix sp.)","carbonized material",""
"Charred Remain","炭化材(ヤナギ属)",0,"carbonized material willow (Salix sp.)","willow (Salix sp.)","carbonized material",""
"Charred Remain","炭化材（ヤナギ属）",0,"carbonized material willow (Salix sp.)","willow (Salix sp.)","carbonized material",""
"Charred Remain","炭化材（ヤナギ枝？）",0,"carbonized material branch willow (Salix sp.)","willow (Salix sp.)","carbonized material branch",""
"Charred Remain","炭化材(ヤナギ科)",0,"carbonized material willow (Salix sp.)","willow (Salix sp.)","carbonized material",""
"Charred Remain","炭化材(ヤブツバキ)",0,"carbonized material wild camellia (Camellia japonica)","wild camellia (Camellia japonica)","carbonized material",""
"Charred Remain","炭化材（ヤブツバキ）",0,"carbonized material wild camellia (Camellia japonica)","wild camellia (Camellia japonica)","carbonized material",""
"Charred Remain","炭化材(ヤマウルシ)",0,"carbonized material Japanese sumac (Toxicodendron trichocarpum)","Japanese sumac (Toxicodendron trichocarpum)","carbonized material",""
"Charred Remain","炭化材(ヤマウルシ様環孔材)",0,"carbonized material ring porous Japanese sumac (Toxicodendron trichocarpum)","Japanese sumac (Toxicodendron trichocarpum)","carbonized material ring porous",""
"Charred Remain","炭化材(ヤマガキ)",0,"?? Awabuki (Meliosma myriantha) アワブキ or maybe Mountain cherry? ヤマザ","","carbonized material","I would guess ヤマガキ should be ヤマグワ"
"Charred Remain","炭化材(ヤマグワ)",0,"carbonized material Chinese mulberry (Morus australis syn bombycis)","Chinese mulberry (Morus australis syn bombycis)","carbonized material",""
"Charred Remain","炭化材（ヤマグワ）",0,"carbonized material Chinese mulberry (Morus australis syn bombycis)","Chinese mulberry (Morus australis syn bombycis)","carbonized material",""
"Charred Remain","炭化材(ヤマグワ近似種)",0,"carbonized material or similar Chinese mulberry (Morus australis syn bombycis)","Chinese mulberry (Morus australis syn bombycis)","carbonized material or similar",""
"Charred Remain","炭化材(ヤマビワ､アワブキ科)",0,"carbonized material Awabuki (Meliosma myriantha)","Awabuki (Meliosma myriantha)","carbonized material","Note that Meliosma and Foxtail millet have same two characters アワ"
"Charred Remain","炭化材(ユズリハ属)",0,"carbonized material yuzuriha (Daphniphyllum sp.)","yuzuriha (Daphniphyllum sp.)","carbonized material",""
"Charred Remain","炭化材(リョウブ)",0,"carbonized material tree clethra (clethra barbinervis)","tree clethra (clethra barbinervis)","carbonized material",""
"Charred Remain","炭化材(リンボク)",0,"carbonized material Rinboku cherry (Prunus spinulosa)","Rinboku cherry (Prunus spinulosa)","carbonized material","I am guessing this isn't Lepidodendron called by same name extinct (scale tree) tree species"
"Charred Remain","炭化材（上屋）",0,"carbonized material","","carbonized material","Building?"
"Charred Remain","炭化材(不明)",0,"unknown carbonized material","","unknown carbonized material",""
"Charred Remain","炭化材(不明散孔材)",0,"unknown carbonized material","","unknown carbonized material",""
"Charred Remain","炭化材(不明環孔材)",0,"unknown carbonized material ring porous","","unknown carbonized material ring porous",""
"Charred Remain","炭化材（丸木）",0,"carbonized material log/trunk","","carbonized material log/trunk",""
"Charred Remain","炭化材(丸材か)",0,"carbonized material log/trunk","","carbonized material log/trunk",""
"Charred Remain","炭化材(仮材)",0,"carbonized material","","carbonized material",""
"Charred Remain","炭化材(最外年輪)",0,"carbonized material outermost year ring","","carbonized material outermost year ring",""
"Charred Remain","炭化材（最外年輪）",0,"carbonized material outermost year ring","","carbonized material outermost year ring",""
"Charred Remain","炭化材（最外年輪である可能性高いが不確実）",0,"carbonized material outermost year ring","","carbonized material outermost year ring","Unclear if outermost ring"
"Charred Remain","炭化材（最終形成年輪）",0,"carbonized material year ring","","carbonized material year ring",""
"Charred Remain","炭化材（最終形成年輪以外。樹皮に近い部分を採取）",0,"carbonized material bark year ring","","carbonized material bark year ring","ring closest to bark"
"Charred Remain","炭化材(双子葉植物)",0,"carbonized plant material cotyledon Dicotyledonous","Dicotyledonous","carbonized plant material cotyledon",""
"Charred Remain","炭化材（垂木？）",0,"carbonized material","","carbonized material","rafter or beam?"
"Charred Remain","炭化材(塊状)",0,"carbonized material","","carbonized material","big"
"Charred Remain","炭化材（外側2年輪分）",0,"carbonized material year ring","","carbonized material year ring",""
"Charred Remain","炭化材（外側6年輪分）",0,"carbonized material year ring","","carbonized material year ring",""
"Charred Remain","炭化材(大径:アカガシ亜属)",0,"carbonized material Japanese evergreen oak (Quercus acuta)","Japanese evergreen oak (Quercus acuta)","carbonized material","wide diameter"
"Charred Remain","炭化材(小径:アカガシ亜属)",0,"carbonized material Japanese evergreen oak (Quercus acuta)","Japanese evergreen oak (Quercus acuta)","carbonized material",""
"Charred Remain","炭化材(小片複数)",0,"carbonized material","","carbonized material","small fragments"
"Charred Remain","炭化材（広葉樹・タケ亜科・樹皮等）",0,"carbonized material bark hardwoodbamboo (Bambusoideae)","bamboo (Bambusoideae)","carbonized material bark hardwood",""
"Charred Remain","炭化材(広葉樹･散孔材)",0,"carbonized material hardwood","","carbonized material hardwood",""
"Charred Remain","炭化材(広葉樹･樹皮)",0,"carbonized material bark hardwood","","carbonized material bark hardwood",""
"Charred Remain","炭化材(広葉樹･環孔材)",0,"carbonized material ring porous hardwood","","carbonized material ring porous hardwood",""
"Charred Remain","炭化材(広葉樹:環孔材)",0,"carbonized material ring porous hardwood","","carbonized material ring porous hardwood",""
"Charred Remain","炭化材(広葉樹?)",0,"carbonized material hardwood","","carbonized material hardwood",""
"Charred Remain","炭化材(広葉樹？)",0,"carbonized material hardwood","","carbonized material hardwood",""
"Charred Remain","炭化材(広葉樹(散孔材))",0,"carbonized material hardwood","","carbonized material hardwood",""
"Charred Remain","炭化材(広葉樹(環孔材))",1,"carbonized material ring porous hardwood","","carbonized material ring porous hardwood",""
"Charred Remain","炭化材(広葉樹)",0,"carbonized material hardwood","","carbonized material hardwood",""
"Charred Remain","炭化材（広葉樹）",0,"carbonized material hardwood","","carbonized material hardwood",""
"Charred Remain","炭化材(広葉樹•1年輪未満)",0,"carbonized material year ring hardwood","","carbonized material year ring hardwood",""
"Charred Remain","炭化材(広葉樹の節)",0,"carbonized material hardwood","","carbonized material hardwood",""
"Charred Remain","炭化材(広葉樹散孔材)",0,"carbonized material hardwood","","carbonized material hardwood",""
"Charred Remain","炭化材(広葉樹樹幹の材片)",0,"carbonized material trunk hardwood","","carbonized material trunk hardwood",""
"Charred Remain","炭化材(広葉樹環孔材?)",0,"carbonized material ring porous hardwood","","carbonized material ring porous hardwood",""
"Charred Remain","炭化材(広葉樹節)",0,"carbonized material hardwood","","carbonized material hardwood",""
"Charred Remain","炭化材(散孔材･環孔材)",0,"carbonized material ring porous","","carbonized material ring porous","ring material"
"Charred Remain","炭化材(散孔材，2年輪分)",0,"carbonized material year ring","","carbonized material year ring",""
"Charred Remain","炭化材(散孔材:5年輪)",0,"carbonized material year ring","","carbonized material year ring",""
"Charred Remain","炭化材(散孔材?)",0,"carbonized material","","carbonized material","loose fragments?"
"Charred Remain","炭化材(散孔材？)",0,"carbonized material","","carbonized material","loose fragments?"
"Charred Remain","炭化材(散孔材)",0,"carbonized material","","carbonized material","loose fragments?"
"Charred Remain","炭化材（散孔材）",0,"carbonized material","","carbonized material","loose fragments?"
"Charred Remain","炭化材(散孔材2)",0,"carbonized material","","carbonized material","loose fragments?"
"Charred Remain","炭化材(散孔材5年輪(外側))",0,"carbonized material year ring","","carbonized material year ring","2nd ring loose?"
"Charred Remain","炭化材(散孔材の一種)",0,"carbonized material","","carbonized material","A type of perforation material"
"Charred Remain","炭化材（木材）",0,"carbonized material wood","","carbonized material wood",""
"Charred Remain","炭化材（木炭・住居建築材）",0,"charcoal carbonized material","","charcoal carbonized material","house structrue"
"Charred Remain","炭化材（木炭・木釘状の細い枝）",0,"charcoal carbonized material branch","","charcoal carbonized material branch","pegs made of branches"
"Charred Remain","炭化材（木炭・柱材外周部）",0,"charcoal carbonized material post/pillar","","charcoal carbonized material post/pillar","outer ring of trunk?"
"Charred Remain","炭化材（木炭）",0,"charcoal carbonized material","","charcoal carbonized material",""
"Charred Remain","炭化材(木炭粒)",0,"charcoal carbonized grain material","","charcoal carbonized grain material",""
"Charred Remain","炭化材(木片)",0,"carbonized material wood frag","","carbonized material wood frag",""
"Charred Remain","炭化材(未同定)",0,"carbonized material Unidentified","","carbonized material Unidentified",""
"Charred Remain","炭化材(杭？)",0,"carbonized material plank","","carbonized material plank",""
"Charred Remain","炭化材(板材)",0,"carbonized material plank","","carbonized material plank",""
"Charred Remain","炭化材(板目板状マツ属複維管束亜属)",0,"carbonized material plank pine (Pinus sp.) subgen compound vascular","pine (Pinus sp.) subgen compound vascular","carbonized material plank",""
"Charred Remain","炭化材（枝材・木炭（0.58g））",0,"charcoal carbonized material branch","","charcoal carbonized material branch",""
"Charred Remain","炭化材(枝材)",0,"carbonized material plank","","carbonized material plank",""
"Charred Remain","炭化材（棟木？）",0,"carbonized material","","carbonized material",""
"Charred Remain","炭化材（構築材？）",0,"carbonized material","","carbonized material",""
"Charred Remain","炭化材(樹木類)",0,"carbonized material tree","","carbonized material tree",""
"Charred Remain","炭化材(樹皮)",0,"carbonized material bark","","carbonized material bark",""
"Charred Remain","炭化材（樹皮）",0,"carbonized material bark","","carbonized material bark",""
"Charred Remain","炭化材(樹種不明)",0,"unknown carbonized material","","unknown carbonized material",""
"Charred Remain","炭化材（樹種同定分析No.15、コナラ属コナラ亜属コナラ節）",0,"carbonized material oak (Quercus sp.) Jolcham oak (Quercus serrata)","oak (Quercus sp.) Jolcham oak (Quercus serrata)","carbonized material",""
"Charred Remain","炭化材（樹種同定分析No.9、樹皮＝ハンノキ属）",0,"carbonized material bark alder (Alnus sp.)​","alder (Alnus sp.)​","carbonized material bark",""
"Charred Remain","炭化材(灰質)",0,"carbonized material","","carbonized material","grey stuff"
"Charred Remain","炭化材（炭化樹皮・住居建築材）",0,"carbonized material bark","","carbonized material bark","ring material"
"Charred Remain","炭化材(環孔材?)",0,"carbonized material ring porous","","carbonized material ring porous",""
"Charred Remain","炭化材（環孔材。つる性木本）",0,"carbonized material woody ring porous vine","vine","carbonized material woody ring porous",""
"Charred Remain","炭化材(環孔材)",0,"carbonized material ring porous","","carbonized material ring porous",""
"Charred Remain","炭化材（環孔材）",0,"carbonized material ring porous","","carbonized material ring porous","ring material"
"Charred Remain","炭化材(環孔材広葉樹)",0,"carbonized material ring porous hardwood","","carbonized material ring porous hardwood","ring material"
"Charred Remain","炭化材(環孔材類似)",0,"carbonized material ring porous","","carbonized material ring porous","ring material"
"Charred Remain","炭化材（細材）",0,"carbonized material","","carbonized material","fine material"
"Charred Remain","炭化材(薄板材)",0,"carbonized material plank","","carbonized material plank",""
"Charred Remain","炭化材(角または丸材)",0,"carbonized material","","carbonized material","square round material"
"Charred Remain","炭化材（遺物番号 炭1）",0,"carbonized material","","carbonized material","Number is this a charcoal sample or might this denote a ring?"
"Charred Remain","炭化材（遺物番号 炭17）",0,"carbonized material","","carbonized material","Number is this a charcoal sample or might this denote a ring?"
"Charred Remain","炭化材（遺物番号 炭18）",0,"carbonized material","","carbonized material","Number is this a charcoal sample or might this denote a ring?"
"Charred Remain","炭化材（遺物番号 炭3）",0,"carbonized material","","carbonized material","Number is this a charcoal sample or might this denote a ring?"
"Charred Remain","炭化材（遺物番号 炭4）",0,"carbonized material","","carbonized material","Number is this a charcoal sample or might this denote a ring?"
"Charred Remain","炭化材（遺物番号 炭6）",0,"carbonized material","","carbonized material","Number is this a charcoal sample or might this denote a ring?"
"Charred Remain","炭化材（遺物番号 炭73）",0,"carbonized material","","carbonized material","Number is this a charcoal sample or might this denote a ring?"
"Charred Remain","炭化材(部位不明)",0,"unknown carbonized material","","unknown carbonized material",""
"Charred Remain","炭化材(針葉樹、カエデ属、トネリコ属、環孔材)",0,"carbonized material ring porous Ash (Fraxinus sp.) Coniferae maple (Acer sp.)","Ash (Fraxinus sp.) Coniferae maple (Acer sp.)","carbonized material ring porous",""
"Charred Remain","炭化材(針葉樹、コナラ属)",0,"carbonized material oak (Quercus sp.) Coniferae","oak (Quercus sp.) Coniferae","carbonized material",""
"Charred Remain","炭化材(針葉樹:小枝)",0,"carbonized material twig branch Coniferae","Coniferae","carbonized material twig branch",""
"Charred Remain","炭化材(針葉樹？)",0,"carbonized material Coniferae","Coniferae","carbonized material",""
"Charred Remain","炭化材(針葉樹)",0,"carbonized material Coniferae","Coniferae","carbonized material",""
"Charred Remain","炭化材（針葉樹）",0,"carbonized material Coniferae","Coniferae","carbonized material",""
"Charred Remain","炭化材(針葉樹4年輪分)",0,"carbonized material year ring Coniferae","Coniferae","carbonized material year ring",""
"Charred Remain","炭化材(針葉樹フシ部約2〜3年輪分)",0,"carbonized material year ring Coniferae","Coniferae","carbonized material year ring",""
"Charred Remain","炭化材2(コナラ属コナラ亜科コナラ節)",0,"carbonized material oak (Quercus sp.) Jolcham oak (Quercus serrata)","oak (Quercus sp.) Jolcham oak (Quercus serrata)","carbonized material",""
"Charred Remain","炭化材A(ニレ科ニレ属)･炭化材B(ブナ科コナラ属アカガシ亜属)",0,"carbonized material oak (Quercus sp.) Japanese evergreen oak (Quercus acuta) Elm (Ulmus sp.) Fagaceae Ulmaceae","oak (Quercus sp.) Japanese evergreen oak (Quercus acuta) Elm (Ulmus sp.) Fagaceae Ulmaceae","carbonized material",""
"Charred Remain","炭化材No.104（キハダ、内側から10年輪目）",0,"carbonized material year ring inside amur cork (Phellodendron)","amur cork (Phellodendron)","carbonized material year ring inside",""
"Charred Remain","炭化材No.104（キハダ、内側から17年輪目）",0,"carbonized material year ring inside amur cork (Phellodendron)","amur cork (Phellodendron)","carbonized material year ring inside",""
"Charred Remain","炭化材No.104（キハダ、内側から1年輪目）",0,"carbonized material year ring inside amur cork (Phellodendron)","amur cork (Phellodendron)","carbonized material year ring inside",""
"Charred Remain","炭化材No.104（キハダ、内側から5年輪目）",0,"carbonized material year ring inside amur cork (Phellodendron)","amur cork (Phellodendron)","carbonized material year ring inside",""
"Charred Remain","炭化材No.310（トドマツ、内側から10年輪目）",0,"carbonized material year ring inside pine (Pinus sp.)","pine (Pinus sp.)","carbonized material year ring inside",""
"Charred Remain","炭化材No.310（トドマツ、内側から15年輪目）",0,"carbonized material year ring inside pine (Pinus sp.)","pine (Pinus sp.)","carbonized material year ring inside",""
"Charred Remain","炭化材No.310（トドマツ、内側から1年輪目）",0,"carbonized material year ring inside pine (Pinus sp.)","pine (Pinus sp.)","carbonized material year ring inside",""
"Charred Remain","炭化材No.310（トドマツ、内側から20年輪目）",0,"carbonized material year ring inside pine (Pinus sp.)","pine (Pinus sp.)","carbonized material year ring inside",""
"Charred Remain","炭化材No.310（トドマツ、内側から28年輪目）",0,"carbonized material year ring inside pine (Pinus sp.)","pine (Pinus sp.)","carbonized material year ring inside",""
"Charred Remain","炭化材No.310（トドマツ、内側から5年輪目）",0,"carbonized material year ring inside pine (Pinus sp.)","pine (Pinus sp.)","carbonized material year ring inside",""
"Charred Remain","炭化材W1(ハンノキ節)",0,"carbonized material Japanese alder (Alnus japonica)​","Japanese alder (Alnus japonica)​","carbonized material",""
"Charred Remain","炭化材コナラ属コナラ亜属コナラ節",0,"carbonized material oak (Quercus sp.) Jolcham oak (Quercus serrata)","oak (Quercus sp.) Jolcham oak (Quercus serrata)","carbonized material",""
"Charred Remain","炭化材サクラ属",0,"carbonized material Cherry, plum etc (Cerasus, Prunus etc)","Cherry, plum etc (Cerasus, Prunus etc)","carbonized material",""
"Charred Remain","炭化材トネリコ属",0,"carbonized material Ash (Fraxinus sp.)","Ash (Fraxinus sp.)","carbonized material",""
"Charred Remain","炭化材一括(コナラ属コナラ亜科コナラ節)",0,"carbonized material oak (Quercus sp.) Jolcham oak (Quercus serrata)","oak (Quercus sp.) Jolcham oak (Quercus serrata)","carbonized material",""
"Charred Remain","炭化材広葉樹",0,"carbonized material hardwood","","carbonized material hardwood",""
"Charred Remain","炭化材広葉樹（環孔材）",0,"carbonized material ring porous hardwood","","carbonized material ring porous hardwood",""
"Charred Remain","炭化材散孔材",0,"carbonized material","","carbonized material","ring material"
"Charred Remain","炭化材片",0,"carbonized material","","carbonized material",""
"Charred Remain","炭化材片･炭化物片",0,"carbonized material fragments material","","carbonized material fragments material",""
"Charred Remain","炭化材片(シイ属)",0,"carbonized material chinquapin (Castanopsis sp.)","chinquapin (Castanopsis sp.)","carbonized material",""
"Charred Remain","炭化材片(ヤマモモ)",0,"carbonized material peach (Amygdalus persica syn. Prunus)","peach (Amygdalus persica syn. Prunus)","carbonized material",""
"Charred Remain","炭化材片（針葉樹）最終形成年輪以外部位不明",0,"unknown carbonized material year ring Coniferae","Coniferae","unknown carbonized material year ring",""
"Charred Remain","炭化材環孔材",0,"carbonized material ring porous","","carbonized material ring porous","ring material"
"Charred Remain","炭化材等",0,"carbonized material","","carbonized material",""
"Charred Remain","炭化植物",1,"carbonized plant","","carbonized plant",""
"Charred Remain","炭化植物(イネ科)",0,"carbonized plant Poaceae","Poaceae","carbonized plant",""
"Charred Remain","炭化植物(草本類)",0,"carbonized plant herbaceous plants","herbaceous plants","carbonized plant","herbaceous plants"
"Charred Remain","炭化植物片(エノキ属、タケ亜科)",0,"carbonized plant fragments hackberry (Celtis sp.) bamboo (Bambusoideae)","hackberry (Celtis sp.) bamboo (Bambusoideae)","carbonized plant fragments",""
"Charred Remain","炭化植物片(クリ、イネ科)",0,"carbonized plant fragments Poaceae chestnut (Castanea crenata)","Poaceae chestnut (Castanea crenata)","carbonized plant fragments",""
"Charred Remain","炭化植物片(タケ･ササ類)",0,"carbonized plant fragments bamboo (Bambusoideae) Bamboo grass","bamboo (Bambusoideae) Bamboo grass","carbonized plant fragments",""
"Charred Remain","炭化植物片（花柱または柱頭）",0,"carbonized plant fragments post/pillar","","carbonized plant fragments post/pillar",""
"Charred Remain","炭化植物遺体",1,"carbonized plant plant remains","","carbonized plant plant remains","Fragments of stuff"
"Charred Remain","炭化植物遺体･草本？",0,"carbonized plant plant remains herbaceous plants","herbaceous plants","carbonized plant plant remains","Fragments - herb"
"Charred Remain","炭化植物遺体(イネ科)",0,"carbonized plant plant remains Poaceae","Poaceae","carbonized plant plant remains",""
"Charred Remain","炭化植物遺体(イネ科草本)",0,"carbonized plant plant remains Poaceae herbaceous plants","Poaceae herbaceous plants","carbonized plant plant remains",""
"Charred Remain","炭化植物遺体(タケ)",0,"carbonized plant plant remains bamboo (Bambusoideae)","bamboo (Bambusoideae)","carbonized plant plant remains",""
"Charred Remain","炭化植物遺体（タケ亜科）",0,"carbonized plant plant remains bamboo (Bambusoideae)","bamboo (Bambusoideae)","carbonized plant plant remains",""
"Charred Remain","炭化植物遺体(ヨシ属茎)",0,"carbonized plant stem plant remains common reed (Phragmites australis)​","common reed (Phragmites australis)​","carbonized plant stem plant remains",""
"Charred Remain","炭化植物遺体（単子葉類）",0,"carbonized plant plant remains monocotyledonous","monocotyledonous","carbonized plant plant remains",""
"Charred Remain","炭化植物遺体（双子葉類）",0,"carbonized plant plant remains cotyledon","","carbonized plant plant remains cotyledon",""
"Charred Remain","炭化植物遺体(稈)(イネ科)",0,"carbonized plant culm plant remains Poaceae","Poaceae","carbonized plant culm plant remains",""
"Charred Remain","炭化植物遺体(草本)",0,"carbonized plant plant remains herbaceous plants","herbaceous plants","carbonized plant plant remains",""
"Charred Remain","炭化植物遺体（草本）",0,"carbonized plant plant remains herbaceous plants","herbaceous plants","carbonized plant plant remains",""
"Charred Remain","炭化植物遺体(草本)",0,"carbonized plant plant remains herbaceous plants","herbaceous plants","carbonized plant plant remains",""
"Charred Remain","炭化植物遺体(草本植物)",0,"carbonized plant plant remains herbaceous plants","herbaceous plants","carbonized plant plant remains",""
"Charred Remain","炭化植物遺体(部位不明)",0,"unknown carbonized plant plant remains","","unknown carbonized plant plant remains",""
"Charred Remain","炭化樹皮",0,"carbonized bark","","carbonized bark",""
"Charred Remain","炭化樹皮（壁材もしくは屋根材）",0,"carbonized material bark root","","carbonized material bark root",""
"Charred Remain","炭化物",1,"carbonized material","","carbonized material",""
"Charred Remain","炭化物・材",0,"carbonized material material","","carbonized material material",""
"Charred Remain","炭化物･材",0,"carbonized material material","","carbonized material material",""
"Charred Remain","炭化物・材 クルミ",0,"carbonized material material walnut (Juglans)","walnut (Juglans)","carbonized material material",""
"Charred Remain","炭化物・材（クリ）",0,"carbonized material material chestnut (Castanea crenata)","chestnut (Castanea crenata)","carbonized material material",""
"Charred Remain","炭化物・材（コナラ節）",0,"carbonized material material Jolcham oak (Quercus serrata)","Jolcham oak (Quercus serrata)","carbonized material material",""
"Charred Remain","炭化物･材(シイノキ属)",0,"carbonized material material chinquapin (Castanopsis sp.)","chinquapin (Castanopsis sp.)","carbonized material material",""
"Charred Remain","炭化物・材（ハンノキ亜属）",0,"carbonized material material Japanese alder (Alnus japonica)​","Japanese alder (Alnus japonica)​","carbonized material material",""
"Charred Remain","炭化物・材（ブドウ属）",0,"carbonized material material grapes (Vitaceae)","grapes (Vitaceae)","carbonized material material",""
"Charred Remain","炭化物・材（小枝）",0,"carbonized material twig branch material","","carbonized material twig branch material",""
"Charred Remain","炭化物・材（枝）",0,"carbonized material branch material","","carbonized material branch material",""
"Charred Remain","炭化物・材（樹皮）",0,"carbonized material bark material","","carbonized material bark material",""
"Charred Remain","炭化物・材（節）",0,"carbonized material material","","carbonized material material","節=section species"
"Charred Remain","炭化物・材（針葉樹）",0,"carbonized material material Coniferae","Coniferae","carbonized material material",""
"Charred Remain","炭化物・植物遺体（タケ亜科、稈）",0,"carbonized plant culm plant remains material bamboo (Bambusoideae)","bamboo (Bambusoideae)","carbonized plant culm plant remains material",""
"Charred Remain","炭化物・植物遺体（単子葉類）",0,"carbonized plant plant remains material monocotyledonous","monocotyledonous","carbonized plant plant remains material",""
"Charred Remain","炭化物？",1,"carbonized material","","carbonized material",""
"Charred Remain","炭化物(アスナロ)",0,"carbonized material hatchet-leaved arbor-vitae (Thujopsis dolabrata)","hatchet-leaved arbor-vitae (Thujopsis dolabrata)","carbonized material",""
"Charred Remain","炭化物(イチイ)",0,"carbonized material Japanese yew (Taxus cuspidata)​","Japanese yew (Taxus cuspidata)​","carbonized material",""
