"Period","PeriodEN"
"後期旧石器時代末〜縄文時代","Late Palaeolithic [Final] - Jomon"
"縄文時代中期以前","Before Middle Jomon  "
"縄文時代中期末葉〜後期前葉","Middle Jomon [Final] - Late Jomon [Early]"
"奈良時代または平安時代","Nara or Heian"
"古代〜中世初頭","Classical - Medieval [Initial]"
"縄文時代後期中葉〜晩期後半","Late Jomon [Middle] - Final Jomon [Second Half]"
"古墳時代前期〜終末期","Early Kofun - Kofun [Final]"
"平安時代前後","Heian [ca.]"
"古墳時代後期後葉","Late Kofun [Late]"
"中世前半中頃(鎌倉時代中頃)","Medieval [ca.Middle of First Half] (Kamakura [Middle ca.])"
"平安時代中葉","Heian [Middle] "
"平安時代初頭","Heian [Initial]"
"To-a火山灰より上層","Above To-a Tephra"
"To-a火山灰より下層","Below To-a Tephra"
"古墳時代後期後半以降奈良時代以前","Late Kofun [After Second Half] -Before Nara"
"古墳時代後期中葉","Late Kofun [Middle]"
"古墳時代後期末葉","Late Kofun [Final]"
"古墳時代前期後半","Early Kofun [Second Half]"
"古墳時代〜平安時代","kofun - Heian"
"奈良時代末期〜平安時代初期以降","Nara [Final] - Heian [after Initial] "
"縄文時代早期末〜前期","Initial Jomon [Final] - Early Jomon"
"明治時代","Meiji "
"縄文時代後期初頭〜前葉前半","Late Jomon [Initial - First Half of Early]"
"弥生時代中期中葉以前縄文時代晩期以降","After Final Jomon before Middle Yayoi [Middle] "
"縄文時代後期ないし晩期","Late Jomon or Final Jomon"
"慶長15年(1610年頃)","Keicho 15 (1610 ca.)"
"10世紀後半以降","After Late 10th Century"
"奈良時代中頃","Nara [ca. Middle]"
"縄文時代早期前葉","Initial Jomon [Early]"
"ATより上位","Above AT Tephra "
"縄文時代晩期前葉〜末葉","Final Jomon [Early - Final]"
"奈良時代末〜平安時代前半頃","Nara [Final] - Heian [ca.First Half ] "
"中世前期","Medieval [Early]"
"To-a火山灰以降","Above To-a Tephra"
"弥生時代〜古代","Yayoi - Classical"
"平安時代以前","Before Heian"
"平安時代?","Heian?"
"奈良時代中葉頃","Nara [ca. Middle]"
"中世後期〜近世初頭","Medieval [Late] - Early Modern [Initial]"
"縄文時代後期後葉以降","After Late Jomon [Late]"
"縄文時代中期前半以降","After Middle Jomon [First Half]"
"縄文時代後期末頃","Late Jomon [Final ca.]"
"縄文時代後期末〜晩期初頭","Late Jomon [Final] - Final Jomon [Initial]"
"縄文時代後期初頭〜晩期前葉","Late Jomon [Initial] - Final Jomon [Early]"
"縄文時代前期上限","Upper limit of Early Jomon "
"平安時代中頃","Heian [Middle] "
"奈良時代末〜平安時代前期","Nara [Final] - Heian [Early] "
"平安時代前半","Heian [First Half]"
"縄文時代中期末？","Middle Jomon [Final]?"
"中世?","Medieval?"
"縄文･中世","Jomon/Medieval "
"縄文時代中期末葉･後期後葉〜晩期前葉","Middle Jomon [Final]/Late Jomon [Late] - Final Jomon [Early]"
"縄文時代中期末〜晩期前半","Middle Jomon [Final] - Final Jomon [First Half]"
"縄文時代後期初頭?","Late Jomon [Initial]?"
"南北朝･室町時代以降","After Nambokucho/Muromachi "
"鎌倉時代〜室町時代","Kamakura - Muromachi"
"12世紀〜近現代","12th Century - Modern/Present"
"奈良時代後半〜平安時代前半","Nara [Second Half] - Heian [First Half]"
"To-a火山灰以前","Below To-a Tephra"
"後期旧石器時代前半期","Late Palaeolithic [First Half]"
"縄文時代中期〜晩期","Middle Jomon - Jomon [Final]"
"縄文時代前期末葉〜中期前葉","Early Jomon [Final] - Middle Jomon [Early]"
"縄文時代中期前葉以降","After Middle Jomon [Early]"
"縄文時代早期後半〜前期前半","Initial Jomon [Second Half] - Early Jomon [Initial]"
"平安時代末〜中世","Heian [Final] to Medieval"
"縄文時代前期中頃〜中期以前","Early Jomon [Middle ca.] - Before Middle Jomon"
"古代以前","Before Classical"
"鎌倉時代後半","Kamakura [Second Half]"
"室町時代","Muromachi"
"平安時代半ば","Heian [Middle]"
"大正時代","Taisho"
"平安時代末葉","Heian [Final]"
"縄文時代後期末以前","Before Late Jomon [Final]"
"古墳時代中期〜7世紀頃","Middle Kofun - 7th Century [ca.]"
"古墳時代前期頃","Early Kofun [ca.]"
"奈良･平安時代または中世","Nara/Heian or Medieval "
"縄文時代早期〜前期初頭","Initial Jomon - Early Jomon [Initial]"
"肘折浮石層中","In Hijiori Fuseki Layer "
"奈良時代末〜平安時代はじめ","Nara [Final] - Heian [Initial] "
"To-a上層","Above To-a Tephra"
"縄文時代前期or晩期","Early Jomon or Final Jomon"
"縄文時代中期or晩期","Middle Jomon or Jomon [Final]"
"古墳時代初頭〜前期","Kofun [Initial] - Early Kofun"
"古墳時代前期末〜中期中葉","Early Kofun [Final] - Middle Kofun [Middle]"
" 古墳時代",NA
"古墳〜奈良時代","Kofun - Nara "
"中世以前","Before Medieval"
"縄文時代晩期後葉〜末葉","Final Jomon [Late - Final] "
"弥生時代前期後葉〜中期前葉","Early Yayoi [Late] - Middle Yayoi [Early]"
"縄文時代早期末葉〜前期","Initial Jomon [Final] - Early Jomon"
"更新世?","Pleistocene?"
"縄文時代早期初頭頃","Initial Jomon [Initial ca.]"
"古墳時代中期後半〜後期前半ごろ","Middle Kofun [Second Half] - Late Kofun [ca. First Half]"
"縄文時代晩期最終末期","Final Jomon [Final]  "
"中世〜近世初頭","Medieval - Early Modern [Initial]"
"弥生時代末〜古墳時代","Yayoi [Final] - Kofun"
"縄文時代中期末〜後期","Middle Jomon [Final] - Late Jomon"
"中世以降近世","Medieval - Early Modern"
"中世末〜近世初期","Medieval [Final] - Early Modern [Initial]"
"縄文時代早期後半〜前期初頭","Initial Jomon [Second Half] - Early Jomon [First Half]"
"近代以前","Before Modern "
"平安時代初期","Heian [Initial]"
"平安時代〜鎌倉時代","Heian - Kamakura"
"平安時代末〜鎌倉時代","Heian [Final] to Kamakura"
"縄文〜古代","Jomon - Classical"
"縄文時代早期後葉〜末葉","Initial Jomon [Late - Final]"
"縄文時代後期最終末","Late Jomon [Very Final]"
"縄文時代早期中葉〜前期","Initial Jomon [Middle] - Early Jomon"
"縄文時代早期･前期","Initial Jomon/Early Jomon"
"縄文時代早期後葉〜前期初頭","Initial Jomon [Late] - Early Jomon [Initial]"
"中世･近世","Medieval - Early Modern"
"中世前半以降","Medieval [After the First Half ] "
"平安時代初頭〜前半","Heian [Initial - First Half]"
"近世初頭","Early Modern [Initial]"
"古墳時代あるいは古代","Kofun or Classical"
"古代末〜中世初頭","Classical [Final] - Medieval [Initial]"
"弥生時代終末期〜古墳時代前期","Yayoi [Final] - Early Kofun"
"縄文時代晩期末以降","After Final Jomon [Final]"
"奈良時代初頭","Nara [Initial]"
"古墳時代後期まで","Up to Late Kofun "
"縄文時代後晩期","Late Jomon - Final Jomon"
"縄文時代晩期後半?","Final Jomon [Second Half]?"
"縄文時代後晩期?","Late Jomon - Final Jomon?"
"縄文時代草創期or後晩期","Incipient Jomon - Late/Final Jomon"
"弥生時代中期後葉〜後期","Middle Yayoi [Late] - Late Yayoi"
"弥生時代前期〜中期初頭","Early Yayoi - Middle Yayoi [Initial]"
"縄文時代晩期〜弥生時代中期","Final Jomon - Middle Yaoi"
"縄文時代早期終末","Initial Jomon [Final]"
"室町時代〜戦国時代","Muromachi - Sengoku"
"縄文時代晩期中葉前半","Final Jomon [First Half of Middle] "
"縄文時代晩期中葉末〜後葉","Final Jomon [Final of Middle - Late] "
"古代あるいは中世","Classical or Early Modern"
"古墳時代早･前期","Kofun [Initial] - Early Kofun "
"奈良時代末〜平安時代初頭","Nara [Final] - Heian [Initial] "
"弥生時代後期末〜古墳時代","Late Yayoi [Final] - Kofun"
"縄文時代前期前葉〜中期初頭","Early Jomon [Early] - Middle Jomon [Initial]"
"古墳時代〜飛鳥時代","Kofun - Asuka"
"縄文時代後期･晩期","Late Jomon - Final Jomon"
"古墳時代前期以降","After Early Kofun"
"縄文時代晩期前葉後半〜中葉前半","Final Jomon [Second Half of Early - First Half of Middle]"
"古代･中世","Classical/Early Modern"
"縄文時代晩期前葉後半","Final Jomon [Second Half of Early]"
"縄文時代晩期前葉前半〜後半","Final Jomon [First Half of Early - Second Half]"
"奈良･平安時代以降","After Nara/Heian"
"室町時代後期〜桃山時代","Muromachi [Late] - Azuchi-Momoyama"
"縄文時代中期前葉前半","Middle Jomon [First Half of Early]"
"縄文時代後期末葉〜晩期初頭","Late Jomon [Final] - Final Jomon [Initial]"
"縄文時代後期末葉以前","Before Late Jomon [Final]"
"古墳時代中期後半","Middle Kofun [Second Half]"
"古墳時代中期頃","Middle Kofun [ca.] "
"弥生時代後期〜平安時代","Late Yayoi - Heian"
"弥生･古墳時代〜古代","Yayoi/Kofun - Classical"
"古墳時代あるいは中〜近世","Kofun or Medieval - Early Modern"
"縄文時代晩期後〜末葉","Final Jomon [Late - Final]"
"中世前半","Medieval [First Half ]"
"縄文時代後期後半初め","Late Jomon [Initial of Second Half]"
"古代または中世","Classical or Early Modern"
"縄文時代前期以降","After Early Jomon"
"中世後期〜近代","Medieval [Late] - Early Modern"
"白鳳時代","Hakuho "
"奈良時代前半","Nara [First Half]"
"弥生時代後期初頭および終末期","Late Yayoi [Initial and Final] "
"縄文時代晩期〜弥生時代後期","Final Jomon - Late Yayoi "
"縄文時代前期後半〜後期前半","Early Jomon [Second Half] - Late Jomon [First Half]"
"古墳時代前期〜古代･中世","Early Kofun - Classical/Medieval"
"弥生時代頃?","Yayoi [ca.]? "
"縄文時代晩期末〜弥生時代中期初め","Final Jomon [Final] - Middle Yayoi [Initial]"
"奈良時代後期〜平安時代初期","Nara [Late] - Heian [Initial]"
"古代(飛鳥〜奈良)","Classical (Asuka-Nara)"
"縄文時代〜中世","Jomon - Medieval "
"縄文時代前期後半〜末","Early Jomon [Second Half - Final]"
"縄文時代早期末〜中期後葉","Initial Jomon [Final] - Middle Jomon [Final]"
"弥生時代中期〜後期後半","Middle Yayoi - Late Yayoi [Second Half]"
"縄文時代後期終末","Late Jomon [Final]"
"奈良時代後期〜平安時代前期","Nara [Late] - Heian [Early]"
"弥生時代〜中世","Yayoi - Medieval"
"弥生時代後期〜終末期","Late Yayoi - Yayoi [Final] "
"平安時代末頃","Heian [ca. Final] "
"縄文時代中期 初頭","Middle Jomon [Initial]"
"縄文時代中期前葉末","Middle Jomon [Final of Early]"
"弥生時代後期〜古墳時代初め","Late Yayoi - Kofun [Initial]"
"古墳時代初頭〜前期前半","Kofun [Initial] - Early Kofun [First Half]"
"弥生時代or中世","Yayoi or Medieval"
"弥生時代、古代、近世","Yayoi, Classical, Early Modern"
"縄文時代晩期終末〜弥生時代中期頃","Final Jomon [Final] - Middle Yayoi [ca.]"
"弥生時代後期後半〜終末期","Late Yayoi [Second Half - Final]"
"縄文時代前期初頭以前","Before Early Jomon [Initial]"
"弥生時代後期後半〜終末期以降","Late Yayoi [Second Half - after Final]"
"弥生時代中期〜古墳時代初頭","Middle Yayoi - Kofun [Initial]"
"奈良時代末〜平安時代","Nara [Final] - Heian "
"古墳時代末〜平安時代","Kofun [Final] - Heian"
"弥生時代終末期以前","Before Yayoi [Final]"
"弥生時代終末期〜古墳時代","Yayoi [Final] - Kofun"
"古墳時代前期〜後期","Early Kofun - Late Kofun"
"縄文時代中期 ",NA
"古墳時代または中世","Kofun or Medieval "
"弥生時代後期末後葉","Late Yayoi [Late of Final]"
"縄文時代 ",NA
"縄文時代早期以降?","Initial Jomon? "
"縄文時代早期後半以前","Before Initial Jomon [Second Half]"
"縄文時代草創期以前","Before Incipient Jomon "
"中世末〜近代","Medieval [Final] - Modern"
"明治以降","After Meiji "
"縄文時代晩期最終末〜弥生時代中期","Final Jomon [Final] - Middle Yayoi "
"江戸時代後期〜明治時代初期","Late Edo - Meiji [Initial]"
"古墳時代中期以前","Before Middle Kofun"
"室町時代後期〜江戸時代初頭","Muromachi [Late] - Edo [Initial]"
"近代以降","After Modern "
"弥生時代後期以降","After Late Yayoi"
"弥生時代後期以前","Before Late Yayoi"
"弥生時代末〜古墳時代前半","Yayoi [Final] - Kofun [First Half]"
"古代末〜中世前半頃","Classical [Final] - Medieval [ca. First Half]"
"平安時代末〜戦国時代","Heian [Final] to Sengoku"
"縄文時代中期初頭〜後期","Middle Jomon [Initial] - Late Jomon"
"弥生時代末頃","Yayoi [ca. Final] "
"弥生時代〜平安時代","Yayoi - Heian"
"縄文時代早期後半〜前期","Initial Jomon [Second Half] - Early Jomon"
"縄文時代前期後半〜中期初頭","Early Jomon [Second Half] - Middle [Initial]"
"平安時代or近世以降","Heian or after Early Modern"
"室町時代〜桃山時代","Muromachi - Azuchi-Momoyama"
"縄文時代末","Final Jomon"
"奈良時代前期","Nara [Early]"
"縄文時代末〜弥生時代","Final Jomon - Yayoi "
"縄文時代前期?","Early Jomon?"
"縄文時代後期以前","Before Late Jomon"
"奈良時代前後","Nara [ca.]"
"縄文時代中期中葉〜中葉末","Middle Jomon [Middle - Final]"
"縄文時代中期後葉初頭","Middle Jomon [Initial of Late]"
"縄文時代前期末葉〜中期中葉","Early Jomon [Final] - Middle Jomon [Middle]"
"縄文時代中期後葉末〜後期前葉","Middle Jomon [Final of Late] - Late Jomon [Early]"
"縄文時代晩期初頭〜中葉","Final Jomon [Initial - Middle]"
"中世または平安時代","Medieval or Heian"
"平安時代または戦国時代","Heian or Sengoku"
"弥生時代中期以前","Before Middle Yayoi"
"弥生時代末期〜古墳時代前期","Yayoi [Final] - Early Kofun"
"縄文時代終末〜弥生時代前期","Final Jomon - Early Yayoi"
"弥生時代中期?","Middle Yayoi? "
"平安時代末〜鎌倉時代初頭","Heian [Final] to Kamakura [Initial]"
"縄文時代晩期後半以前","Before Final Jomon [Second Half] "
"縄文時代晩期後半〜弥生時代前期","Final Jomon [Second Half] - Early Yayoi"
"弥生時代末〜古墳時代初頭以前","Yayoi [Final] - before Kofun [Initial]"
"江戸時代前期以前","Before Early Edo  "
"弥生時代末〜古墳時代初め","Yayoi [Final] - Kofun [Initial]"
"中世〜近世初期","Medieval - Early Modern [Initial]"
"縄文時代中期中葉〜後期初頭","Middle Jomon [Middle] - Late Jomon [Initial]"
"弥生時代末〜古墳時代初頭","Yayoi [Final] - Kofun [Initial]"
"鎌倉時代初期","Kamakura [Initial]"
"縄文時代後期末?","Late Jomon [Final]?"
"弥生時代中期中葉〜奈良･平安時代","Middle Yayoi [Middle] - Nara/Heian"
"奈良時代から平安時代","Nara - Heian"
"弥生時代中期後葉〜古墳時代前期","Middle Yayoi [Late] - Early Kofun "
"弥生時代中期後葉以降","After Middle Yayoi [Late]"
"飛鳥時代〜奈良時代","Asuka - Nara"
"縄文時代後期〜弥生時代中期","Late Jomon - Middle Yayoi"
"弥生時代中期後葉〜後期初頭","Middle Yayoi [Late] - Late Yayoi [Initial]"
"平安時代中頃から後半","Heian [ca. Middle to Late]"
"弥生時代中期中葉〜後葉","Middle Yayoi [Middle - Late]"
"戦国時代〜江戸時代","Sengoku - Edo"
"縄文時代以前","Before Jomon"
"弥生時代中期初頭〜前葉","Middle Yayoi [Initial - Early]"
"古墳時代終末期","Kofun [Final]"
"弥生時代後期〜終末","Late Yayoi - Yayoi [Final] "
"中〜近世","Medieval - Early Modern "
"弥生時代前期〜中期前葉","Early Yayoi - Middle Yayoi [Early]"
"飛鳥･奈良時代","Asuka/Nara"
"古墳時代中期後葉","Middle Kofun [Late]"
"縄文時代早期後半〜末","Initial Jomon [Second Half - Final]"
"弥生時代中期末〜後期初頭","Middle Yayoi [Final] - Late Yayoi [Initial]"
"弥生時代中期以降","After Middle Yayoi"
"縄文時代後期末〜晩期中葉","Late Jomon [Final] - Final Jomon [Middle]"
"中世〜近世頃","Medieval - Early Modern [ca.]"
"弥生時代後期〜奈良時代","Late Yayoi - Nara"
"旧石器時代以降","After Palaeolithic"
"弥生時代前期後半〜中期中葉","Early Yayoi [Second Half] - Middle Yayoi [Middle]"
"縄文時代後期〜古墳時代","Late Jomon - Kofun"
"弥生時代中期中頃","Middle Yayoi [ca. Middle] "
"縄文時代後期後葉〜晩期","Late Jomon [Late] - Final Jomon"
"平安〜近世","Heian - Early Modern"
"縄文時代〜鎌倉時代","Jomon - Kamakura"
"奈良時代以前","Before Nara"
"古墳時代中期末","Middle Kofun [Final]"
"縄文時代後期・晩期","Late Jomon - Final Jomon"
"弥生時代並行期〜中世","Yayoi [Contemporary to] to Medieval"
"縄文時代早創期","Incipient Jomon "
"旧石器時代〜中世並行期","Palaeolithic - Medieval [Contemporary to]"
"縄文時代早期〜中世並行期","Initial Jomon - Medieval [Contemporary to]"
"縄文時代〜古代","Jomon - Classical"
"後期旧石器時代〜縄文時代","Late Palaeolithic - Jomon"
"旧石器時代〜縄文時代","Palaeolithic - Jomon"
"縄文時代早創期〜前期","Incipient Jomon - Early Jomon"
"縄文時代晩期〜古代","Final Jomon - Classical"
"奈良時代〜平安時代初頭","Nara - Heian [Initial]"
"古代前半期","Classical [First Half]"
"古代？","Classical?"
"弥生時代あるいは古代","Yayoi or Classical"
"縄文時代中後期","Middle - Late Jomon"
"縄文時代早期初頭または草創期後葉","Initial Jomon [Initial] or Incipient Jomon [Late] "
"縄文時代草創期後葉","Incipient Jomon [Late]"
"旧石器時代〜弥生時代中期","Palaeolithic - Middle Yayoi"
"縄文時代前期〜晩期","Early Jomon - Final Jomon"
"縄文時代後期後半〜晩期","Late Jomon [Second Half] - Final Jomon"
"縄文時代草創期末〜早期初頭","Incipient Jomon [Late] - Initial Jomon [Initial]"
"室町時代前半","Muromachi [First Half]"
"平安時代後期後半〜鎌倉時代初頭","Heian [Second Half of Late Heian] - Kamakura [Initial] "
"飛鳥時代後半〜奈良時代前半","Asuka [Second Half] - Nara [First Half]"
"平安時代後期後半","Heian [Second Half of Late Heian]"
"弥生時代前期後半〜中期前半","Early Yayoi [Second Half] - Middle Yayoi [First Half]"
"飛鳥時代末〜奈良時代","Asuka [Final] - Nara "
"縄文時代早期〜古代","Initial Jomon - Classical"
"室町時代後半〜江戸時代初頭","Muromachi [Second Half] - Edo [Initial]"
"室町時代中頃","Muromachi [ca. Middle]"
"鎌倉時代後半〜室町時代初頭","Kamakura [Second Half] - Muromachi [Initial]"
"鎌倉時代後半〜江戸時代初頭","Kamakura [Second Half] - Edo [Initial]"
"江戸時代前期〜大正時代","Early Edo - Taisho"
"江戸時代前期〜明治時代","Early Edo - Meiji"
"鎌倉時代前半","Kamakura [First Half]"
"鎌倉時代中頃","Kamakura [Middle]"
"古墳時代前期後半〜中期前半","Early Kofun [Second Half] - Middle Kofun [First Half]"
"古墳時代後期〜飛鳥時代前半","Late Kofun - Asuka [First Half]"
"飛鳥時代末〜平安時代前期前半","Asuka [Final] - Heian [First Half of Early]"
"旧石器時代終末〜縄文時代草創期初頭","Palaeolithic [Final] - Incipient Jomon [Initial]"
"旧石器時代〜中世","Palaeolithic - Medieval"
"室町時代後半〜安土･桃山","Muromachi [Second Half] - Azuchi‐Momoyama"
"鎌倉時代〜室町時代前半","Kamakura - Muromachi [First Half]"
"古墳時代後期〜飛鳥時代初頭","Late Kofun - Asuka [Initial]"
"飛鳥時代末〜平安時代初頭","Asuka [Final] - Heian [Initial]"
"室町時代中頃〜江戸時代初頭","Muromachi [ca. Middle] - Edo [Initial]"
"縄文時代前期末〜中期前半","Early Jomon [Final] - Middle Jomon [First Half]"
"江戸時代前期末〜中期初","Early Edo [Final] - Middle Edo [Initial]"
"平安時代前期前半頃","Heian [ca. First Half of Early Heian] "
"弥生時代早期〜前期","Initial Yayoi - Early Yayoi"
"近代〜現代","Modern - Present"
"弥生時代前期末〜中期","Early Yayoi [Final] - Middle Yayoi"
"飛鳥時代〜平安時代","Asuka - Heian"
"古墳時代末〜飛鳥時代","Kofun [Final] - Asuka"
"鎌倉時代末〜室町時代初期","Kamakura [Final] - Muromachi [Initial]"
"古墳時代後期〜平安時代前期","Late Kofun - Heian [Early]"
"弥生時代前期末〜古墳時代","Early Yayoi [Final] - Kofun"
"飛鳥時代･奈良時代","Asuka/Nara"
"縄文時代〜古墳時代","Jomon - Kofun"
"弥生時代後期中葉〜後葉","Late Yayoi [Middle - Late]"
"縄文時代前期末〜後期","Early Jomon [Final] - Late Jomon"
"縄文時代後期〜弥生時代後期","Late Jomon - Late Yayoi"
"後期旧石器時代〜縄文時代草創期","Late Palaeolithic - Incipient Jomon"
"弥生時代後半〜古墳時代前期","Yayoi [Second Half] - Early Kofun"
"古墳時代終末期〜古代","Kofun [Final] - Classical"
"弥生時代中期中葉〜後半","Middle Yayoi [Middle - Second Half]"
"縄文時代後期後葉〜晩期中葉","Late Jomon [Late] - Final Jomon [Middle]"
"縄文時代早期中葉〜早期末･前期初頭","Initial Jomon [Middle] - Initial Jomon [Final]/Early Jomon [Initial]"
"縄文時代晩期後半〜弥生時代前期前半","Final Jomon [Second Half] - Early Yayoi [First Half]"
"古墳時代中期〜古墳時代後期","Middle Kofun - Late Kofun "
"縄文時代前期〜弥生","Early Jomon - Yayoi"
"縄文時代前期〜古墳時代","Early Jomon - Kofun"
"古墳時代後期並行期","Late Kofun [Contemporary to]"
"弥生時代終末以前？","Before Yayoi [Final]?"
"弥生時代終末〜古墳時代前期","Yayoi [Final] - Early Kofun"
"弥生時代後期後半〜古墳時代中期","Late Yayoi [Second Half] - Middle Kofun"
"縄文時代前期及び後期","Early Jomon and Late Jomon"
"後期旧石器時代初頭","Late Palaeolithic [Initial]"
"縄文時代晩期〜古墳時代","Final  Jomon - Kofun"
"縄文時代前期〜弥生時代中期","Early Jomon - Middle Yayoi"
"縄文時代早期中葉末","Initial Jomon [Final of Middle]"
"古墳時代〜近世","Kofun - Early Modern"
"平安時代〜室町時代","Heian - Muromachi"
"弥生時代早期〜前期(縄文時代晩期)","Initial Yayoi - Early Yayoi (Final Jomon}"
"縄文時代〜近世","Jomon - Early Modern"
"旧石器時代〜近世","Palaeolithic - Early Modern"
"縄文時代早期？","Initial Jomon?"
"旧石器時代〜古墳時代","Palaeolithic - Kofun"
"縄文時代草創期〜弥生時代","Incipient Jomon - Yayoi"
"縄文時代中〜後期","Middle Jomon - Late Jomon"
"古墳時代〜古代前期","Kofun - Classical [Early]"
"弥生時代後期初頭〜古墳時代前期","Late Yayoi [Initial] - Early Kofun"
"弥生時代前期？","Early Yayoi?"
"弥生時代中期後半古","Middle Yayoi [Early stage of the second half] "
"弥生時代中期後葉新","Middle Yayoi [Later stage of the second half]"
"弥生時代後期中頃古","Late Yayoi [Early stage of the Middle ca.]"
"弥生時代中期前葉〜後期後半","Middle Yayoi [Early] - Late Yayoi [Second Half]"
"弥生時代中期前葉〜後期前半","Middle Yayoi [Early] - Late Yayoi [First Half]"
"弥生時代中期前葉〜後期","Middle Yayoi [Early - Late]"
"弥生時代中期〜古墳時代以降","Middle Yayoi - Kofun [After]"
"旧石器時代〜縄文時代晩期後半","Palaeolithic - Final Jomon [Second Half]"
"縄文時代〜室町時代","Jomon - Muromachi"
"古墳時代〜室町時代","Kofun - Muromachi"
"旧石器時代〜縄文時代早期","Palaeolithic - Initial Jomon"
"奈良時代後半〜平安時代前期?","Nara [Second Half] - Heian [Early?]"
"弥生時代早期後半〜前期初頭","Initial Yayoi [Second Half] - Early Yayoi [Initial]"
"縄文時代晩期末〜弥生時代早期","Final Jomon [Final] - Initial Yayoi"
"縄文時代後期後葉〜晩期中葉？","Late Jomon [Late] - Final Jomon [Middle?]"
"戦国","Sengoku"
"室町時代〜安土桃山","Muromachi - Azuchi-Momoyama"
"縄文時代後期後葉？","Late Jomon [Late?]"
"縄文時代後期前葉〜中葉？","Late Jomon [Early - Middle?]"
"縄文時代早期末？","Initial Jomon [Final]?"
"弥生時代前期前半･後期後半〜終末","Early Yoi [First Half]/Late Yayoi [Second Half - Final]"
"縄文時代後期〜近世","Late Jomon - Early Modern"
"旧石器時代〜奈良時代･平安時代","Palaeolithic - Nara / Heian"
"旧石器時代〜古代","Palaeolithic - Classical"
"旧石器時代後期〜縄文時代早期","Late Palaeolithic - Initial Jomon"
"弥生時代終末〜古墳時代前期頃","Yayoi [Final] - Early Kofun [ca.]"
"中世〜近現代","Medieval - Modern/Contemporary"
"弥生時代中期〜古代","Middle Yayoi - Classical "
"縄文時代前期？","Early Jomon?"
"縄文時代前期〜縄文時代後期中葉","Early Jomon - Late Jomon [Middle]"
"旧石器時代〜中近世","Palaeolithic - Medieval / Early Modern"
"古墳時代〜鎌倉時代","Kofun - Kamakura"
"旧石器時代〜現代","Palaeolithic - Present"
"古墳時代〜奈良時代","Kofun - Nara"
"縄文時代〜平安時代","Jomon - Heian"
"白鳳時代(飛鳥時代)","Hakuho (Asuka)"
"弥生時代前期末〜中期初頭","Early Yayoi [Final] - Middle Yayoi [Initial]"
"古墳時代中期初頭","Middle Kofun [Initial]"
"弥生時代〜古墳時代前半","Yayoi - Kofun [First Half]"
"縄文時代〜弥生時代･江戸時代","Jomon - Yayoi / Edo"
"弥生時代前期後半〜中期後半","Early Yayoi [Second Half] - Middle Yayoi [Second Half]"
"弥生時代前期末〜中期初","Early Yayoi [Final] - Middle Yayoi [Initial]"
"弥生時代後期後半〜終末","Late Yayoi [Second Half - Final]"
"縄文時代中〜前期","Middle Jomon - Early Jomon"
"奈良時代･平安時代〜中世","Nara/Heian - Medieval"
"奈良時代？","Nara?"
"古墳時代前期前半","Early Kofun [First Half]"
"平安時代後半〜鎌倉時代期","Heian [Second Half] - Kamakura"
"古墳時代中期前半","Middle Kofun [First Half]"
"縄文時代･古墳時代","Jomon / Kofun"
"縄文時代中期〜中世","Middle Jomon - Medieval"
"奈良時代〜中世","Nara - Medieval"
"古代末〜中世初期","Classical [Final] - Medieval [Initial]"
"弥生時代早期〜前期末","Initial Yayoi - Early Yayoi [Final]"
"縄文時代晩期末(弥生時代早期)","Final Jomon [Final] (Initial Yayoi)"
"弥生時代早期･弥生時代中期〜後期","Initial Yayoi / Middle Yayoi - Late Yayoi"
"古墳時代〜","Kofun - "
"弥生時代前期初め〜古墳時代前期","Early Yayoi [Initial] - Early Kofun"
"弥生時代後期中頃〜後半","Late Yayoi [Middle ca. - Second Half]"
"弥生時代〜近世","Yayoi - Early Modern"
"弥生時代後期終末頃","Late Yayoi [Final ca.]"
"弥生時代早期後半〜前期後半","Initial Yayoi [Second Half] - Early Yayoi [Second Half]"
"縄文時代晩期以前〜弥生時代前期","Before Final Jomon - Early Yayoi"
"縄文時代晩期以前〜古墳時代前期頃","Before Final Jomon - Early Kofun [ca.]"
"弥生時代終末頃","Yayoi [Final ca.]"
"縄文時代？","Jomon?"
"古墳時代前期〜鎌倉時代","Early Kofun - Kamakura"
"弥生時代前期末〜中期前半","Early Yayoi [Final] - Middle Yayoi [First Half]"
"縄文時代後期後半〜晩期初頭","Late Jomon [Second Half] - Final Jomon [Initial]"
"弥生時代〜奈良時代","Yayoi - Nara"
"弥生時代前期末頃","Early Yayoi [Final ca.]"
"縄文時代草創期〜早期","Incipient Jomon - Initial Jomon "
"中世半ば？","Medieval [Middle?]"
"縄文時代前期〜古代","Early Jomon - Classical"
"中期〜後期旧石器時代","Middle - Late Palaeolithic"
"旧石器時代〜縄文時代晩期","Palaeolithic - Final Jomon"
"弥生時代後期後葉〜古墳時代初頭","Late Yayoi [Late] - Kofun [Initial]"
"中世前期以降","Before Medieval [Early]"
"平安時代末期","Heian [Final]"
"古墳時代〜江戸時代","Kofun - Edo"
"古墳時代後期〜中世","Late Kofun - Medieval"
"弥生時代中期末〜後期","Middle Yayoi [Final] - Late Yayoi   "
"旧石器時代〜縄文時代後期","Palaeolithic - Late Jomon"
"弥生時代中期〜古墳時代前期","Middle Yayoi - Early Kofun"
"弥生時代後期後半〜古墳時代前期","Late Yayoi [Second Half] - Early Kofun"
