"MaterialTypeUniqueID","Material_Classification","Material_Details_JPN","Material_Details_EN","inconsistent"
3366,"Animal Bone","骨(ウマ仙椎)",NA,FALSE
3367,"Animal Bone","骨(ウマ右下顎骨)",NA,FALSE
3368,"Animal Bone","骨(ウマ右肩甲骨",NA,FALSE
3369,"Animal Bone","骨(ウマ右脛骨)",NA,FALSE
3370,"Animal Bone","骨(ウマ右距骨)",NA,FALSE
3371,"Animal Bone","骨(ウマ左中手骨)",NA,FALSE
3372,"Animal Bone","骨(ウマ左橈骨)",NA,FALSE
3373,"Animal Bone","骨(ウマ左肩甲骨)",NA,FALSE
3374,"Animal Bone","骨(ウマ左距骨)",NA,FALSE
3375,"Animal Bone","骨(コラーゲン)(牛)",NA,FALSE
3376,"Animal Bone","骨(コラーゲン)(馬歯)",NA,FALSE
3377,"Animal Bone","骨(シカ？)",NA,FALSE
3378,"Animal Bone","骨(シカ)",NA,FALSE
3379,"Animal Bone","骨（シカ右上顎後臼歯）",NA,FALSE
3380,"Animal Bone","骨(シカ右下顎後臼歯)",NA,FALSE
3381,"Animal Bone","骨（シカ右下顎骨）",NA,FALSE
3382,"Animal Bone","骨（シカ右前頭骨～角）",NA,FALSE
3383,"Animal Bone","骨(シカ右肩甲骨)",NA,FALSE
3384,"Animal Bone","骨(シカ左下顎骨)",NA,FALSE
3385,"Animal Bone","骨（シカ左下顎骨）",NA,FALSE
3386,"Animal Bone","骨(シカ左肩甲骨)",NA,FALSE
3387,"Animal Bone","骨（シカ左脛骨遠位端)",NA,FALSE
3388,"Animal Bone","骨(シカ左距骨)",NA,FALSE
3389,"Animal Bone","骨(ニホンジカ)",NA,FALSE
3390,"Animal Bone","骨(ネコ左上腕骨)",NA,FALSE
3391,"Animal Bone","骨(ネコ左下顎骨)",NA,FALSE
3392,"Animal Bone","骨（ヒグマ）頸骨",NA,FALSE
3408,"Animal Bone","骨(歯) ウマ 歯牙片",NA,FALSE
3413,"Animal Bone","骨片",NA,TRUE
3414,"Animal Bone","骨片(動物骨)",NA,FALSE
195,"Charred Remain","トクサ",NA,FALSE
314,"Charred Remain","ワラ状炭化物",NA,FALSE
341,"Charred Remain","亜炭？",NA,FALSE
372,"Charred Remain","住居内採取炭化物 炭化材（クリ）",NA,FALSE
394,"Charred Remain","単子葉植物(イネ科)",NA,FALSE
395,"Charred Remain","単子葉植物茎",NA,FALSE
733,"Charred Remain","土壌(炭化物混じりの粘土)･炭化材(スダジイ)",NA,FALSE
758,"Charred Remain","土混じり木炭片",NA,FALSE
760,"Charred Remain","地下茎(クワイ)",NA,FALSE
871,"Charred Remain","木本炭化物",NA,FALSE
875,"Charred Remain","木材",NA,TRUE
1077,"Charred Remain","木材(クスノキ)",NA,TRUE
1100,"Charred Remain","木材(コナラ属アカガシ亜属)",NA,TRUE
1121,"Charred Remain","木材(スダジイ)",NA,TRUE
