"Material_Classification","Material_Details_JPN","Material_Details_EN","inconsistent"
"Shell","巻貝(イボウミニナ)",NA,FALSE
"Soil","布?土壌?",NA,FALSE
"Wood","常緑広葉樹　葉片および木材化石",NA,FALSE
"Wood","建築部材",NA,FALSE
"Other Charred Remains","微粒炭",NA,FALSE
"Other Charred Remains","微細な植物遺体",NA,FALSE
"Other Charred Remains","微細な炭化物",NA,FALSE
"Wood","微細植物片",NA,FALSE
"Wood","掘り棒",NA,FALSE
"Other unknown samples","方解石",NA,FALSE
"Other unknown samples","昆虫化石(ヒメコガネ上翅)",NA,FALSE
"Soil","明褐灰色粘土",NA,FALSE
"Soil","暗灰色シルト",NA,FALSE
"Soil","暗灰色の土壌",NA,FALSE
"Soil","暗灰色粘土",NA,FALSE
"Soil","暗灰色腐植質シルト",NA,FALSE
"Soil","暗灰色腐植質泥",NA,FALSE
"Soil","暗色帯土壌",NA,FALSE
"Soil","暗褐色シルト",NA,FALSE
"Peat","暗褐色砂混じり腐植質シルト",NA,FALSE
"Soil","暗褐色粘土",NA,FALSE
"Soil","暗褐色腐植質シルト土壌",NA,FALSE
"Soil","有機土壌",NA,FALSE
"Peat","有機堆積物",NA,TRUE
"Soil","有機堆積物",NA,TRUE
"Soil","有機性堆積物",NA,FALSE
"Peat","有機物",NA,TRUE
"Other unknown samples","有機物",NA,TRUE
"Soil","有機物片",NA,FALSE
"Other unknown samples","有機物細片",NA,FALSE
"Soil","有機物質土壌",NA,FALSE
"Peat","有機質シルト",NA,TRUE
"Soil","有機質シルト",NA,TRUE
"Peat","有機質土",NA,TRUE
"Soil","有機質土",NA,TRUE
"Soil","有機質土(黒色土壌)",NA,FALSE
"Peat","有機質土壌",NA,TRUE
"Soil","有機質土壌",NA,TRUE
"Peat","有機質堆積物",NA,TRUE
"Soil","有機質堆積物",NA,TRUE
"Soil","有機質年土",NA,FALSE
"Peat","有機質泥",NA,TRUE
"Soil","有機質泥",NA,TRUE
"Peat","有機質片",NA,FALSE
"Peat","有機質砂質シルト",NA,FALSE
"Peat","有機質粘土",NA,TRUE
"Soil","有機質粘土",NA,TRUE
"Other unknown samples","有機質製品",NA,FALSE
"Wood","木",NA,FALSE
"Wood","木(カエデ属)",NA,FALSE
"Wood","木(クリ)",NA,FALSE
"Wood","木(ケヤキ)",NA,FALSE
"Wood","木(コナラ属コナラ亜属クヌギ節)",NA,FALSE
"Wood","木(トウヒ属)",NA,FALSE
"Wood","木(トネリコ属)",NA,FALSE
"Wood","木(ムクノキ)",NA,FALSE
"Wood","木（倒木）",NA,FALSE
"Wood","木(広葉樹)",NA,FALSE
"Wood","木（杭）",NA,FALSE
"Wood","木（柵の縦木）",NA,FALSE
"Wood","木（細杭）",NA,FALSE
"Seed","木の実(クルミ)",NA,FALSE
"Seed","木の実(トチ)",NA,FALSE
"Peat","木本泥炭",NA,FALSE
"Charred Remain","木本炭化物",NA,FALSE
"Peat","木本質泥炭",NA,FALSE
"Peat","木本質泥炭〜草本質泥炭",NA,FALSE
"Wood","木本遺体屑",NA,FALSE
"Wood","木材",NA,TRUE
"Charred Remain","木材",NA,TRUE
"Wood","木材　ウルシ",NA,FALSE
"Wood","木材,",NA,FALSE
"Wood","木材，J-Cal",NA,FALSE
"Wood","木材，ウイグルマッチング，",NA,FALSE
"Wood","木材，ウイグルマッチング，-20",NA,FALSE
"Wood","木材，ウイグルマッチング，-30",NA,FALSE
"Wood","木材，ウイグルマッチング，-90",NA,FALSE
"Wood","木材，ウイグルマッチング，0",NA,FALSE
"Wood","木材，ウイグルマッチング，1",NA,FALSE
"Wood","木材，ウイグルマッチング，1-5",NA,FALSE
"Wood","木材，ウイグルマッチング，1〜5",NA,FALSE
"Wood","木材，ウイグルマッチング，10",NA,FALSE
"Wood","木材，ウイグルマッチング，11-15",NA,FALSE
"Wood","木材，ウイグルマッチング，1年輪目",NA,FALSE
"Wood","木材，ウイグルマッチング，20",NA,FALSE
"Wood","木材，ウイグルマッチング，21-25",NA,FALSE
"Wood","木材，ウイグルマッチング，30",NA,FALSE
"Wood","木材，ウイグルマッチング，31",NA,FALSE
"Wood","木材，ウイグルマッチング，31〜35",NA,FALSE
"Wood","木材，ウイグルマッチング，36〜39",NA,FALSE
"Wood","木材，ウイグルマッチング，40",NA,FALSE
"Wood","木材，ウイグルマッチング，41",NA,FALSE
"Wood","木材，ウイグルマッチング，45",NA,FALSE
"Wood","木材，ウイグルマッチング，50",NA,FALSE
"Wood","木材，ウイグルマッチング，61",NA,FALSE
"Wood","木材，ウイグルマッチング，70",NA,FALSE
"Wood","木材，ウイグルマッチング，クスノキ,",NA,FALSE
"Wood","木材，ウイグルマッチング，クスノキ,内から105層",NA,FALSE
"Wood","木材，ウイグルマッチング，クスノキ,内から25層",NA,FALSE
"Wood","木材，ウイグルマッチング，クスノキ,内から45層",NA,FALSE
"Wood","木材，ウイグルマッチング，クスノキ,内から5層",NA,FALSE
"Wood","木材，ウイグルマッチング，クスノキ,内から65層",NA,FALSE
"Wood","木材，ウイグルマッチング，クスノキ,内から85層",NA,FALSE
"Wood","木材，ウイグルマッチング，ムクロジ,外から11年目",NA,FALSE
"Wood","木材，ウイグルマッチング，ムクロジ,外から1年目",NA,FALSE
"Wood","木材，ウイグルマッチング，ムクロジ,外から21年目",NA,FALSE
"Wood","木材，ウイグルマッチング，ムクロジ,外から31年目",NA,FALSE
"Wood","木材，ウイグルマッチング，ムクロジ,外から41年目",NA,FALSE
"Wood","木材，ウイグルマッチング，ムクロジ,外から51年目",NA,FALSE
"Wood","木材，ウイグルマッチング，モミ属,最外11年目",NA,FALSE
"Wood","木材，ウイグルマッチング，モミ属,最外1年目",NA,FALSE
"Wood","木材，ウイグルマッチング，モミ属,最外21年目",NA,FALSE
"Wood","木材，ウイグルマッチング，中心から16年輪",NA,FALSE
"Wood","木材，ウイグルマッチング，中心から26年輪",NA,FALSE
"Wood","木材，ウイグルマッチング，中心から36年輪",NA,FALSE
"Wood","木材，ウイグルマッチング，中心から46年輪",NA,FALSE
"Wood","木材，ウイグルマッチング，中心から6年輪",NA,FALSE
"Wood","木材，ウイグルマッチング，中間30層目",NA,FALSE
"Wood","木材，ウイグルマッチング，最も内側",NA,FALSE
"Wood","木材，ウイグルマッチング，最内60層目",NA,FALSE
"Wood","木材，ウイグルマッチング，最内から100層目",NA,FALSE
"Wood","木材，ウイグルマッチング，最内から10層目",NA,FALSE
"Wood","木材，ウイグルマッチング，最内から110層目",NA,FALSE
"Wood","木材，ウイグルマッチング，最内から20層目",NA,FALSE
"Wood","木材，ウイグルマッチング，最内から30層目",NA,FALSE
"Wood","木材，ウイグルマッチング，最内から40層目",NA,FALSE
"Wood","木材，ウイグルマッチング，最内から50層目",NA,FALSE
"Wood","木材，ウイグルマッチング，最内から60層目",NA,FALSE
"Wood","木材，ウイグルマッチング，最内から70層目",NA,FALSE
"Wood","木材，ウイグルマッチング，最内から80層目",NA,FALSE
"Wood","木材，ウイグルマッチング，最内から90層目",NA,FALSE
"Wood","木材，ウイグルマッチング，最外1層目",NA,FALSE
"Wood","木材，ウイグルマッチング，最外から1-5",NA,FALSE
"Wood","木材，ウイグルマッチング，最外から11-15",NA,FALSE
"Wood","木材，ウイグルマッチング，最外から11年輪",NA,FALSE
"Wood","木材，ウイグルマッチング，最外から21-25",NA,FALSE
"Wood","木材，ウイグルマッチング，最外から21年輪",NA,FALSE
"Wood","木材，ウイグルマッチング，最外から26-29",NA,FALSE
"Wood","木材，ウイグルマッチング，最外から26-30",NA,FALSE
"Wood","木材，ウイグルマッチング，最外から31-35",NA,FALSE
"Wood","木材，ウイグルマッチング，最外から31年輪",NA,FALSE
"Wood","木材，ウイグルマッチング，最外から41年輪",NA,FALSE
"Wood","木材，ウイグルマッチング，最外から49年輪",NA,FALSE
"Wood","木材，ウイグルマッチング，最外から5年輪",NA,FALSE
"Wood","木材，ウイグルマッチング，外から1-5年輪",NA,FALSE
"Wood","木材，ウイグルマッチング，外から101輪",NA,FALSE
"Wood","木材，ウイグルマッチング，外から11-15年輪",NA,FALSE
"Wood","木材，ウイグルマッチング，外から11-20年輪",NA,FALSE
"Wood","木材，ウイグルマッチング，外から111-115年輪",NA,FALSE
"Wood","木材，ウイグルマッチング，外から11年輪",NA,FALSE
"Wood","木材，ウイグルマッチング，外から11年輪目",NA,FALSE
"Wood","木材，ウイグルマッチング，外から121-130年輪",NA,FALSE
"Wood","木材，ウイグルマッチング，外から131-135年輪",NA,FALSE
"Wood","木材，ウイグルマッチング，外から131年輪目",NA,FALSE
"Wood","木材，ウイグルマッチング，外から151-160年輪",NA,FALSE
"Wood","木材，ウイグルマッチング，外から16-20年輪",NA,FALSE
"Wood","木材，ウイグルマッチング，外から191-200年輪",NA,FALSE
"Wood","木材，ウイグルマッチング，外から1年輪",NA,FALSE
"Wood","木材，ウイグルマッチング，外から1年輪目",NA,FALSE
"Wood","木材，ウイグルマッチング，外から21-25年輪",NA,FALSE
"Wood","木材，ウイグルマッチング，外から21年輪",NA,FALSE
"Wood","木材，ウイグルマッチング，外から21年輪目",NA,FALSE
"Wood","木材，ウイグルマッチング，外から231-240年輪",NA,FALSE
"Wood","木材，ウイグルマッチング，外から26-30年輪",NA,FALSE
"Wood","木材，ウイグルマッチング，外から31-35年輪",NA,FALSE
"Wood","木材，ウイグルマッチング，外から31年輪",NA,FALSE
"Wood","木材，ウイグルマッチング，外から31年輪目",NA,FALSE
"Wood","木材，ウイグルマッチング，外から36-40年輪",NA,FALSE
"Wood","木材，ウイグルマッチング，外から41-45年輪",NA,FALSE
"Wood","木材，ウイグルマッチング，外から41年輪",NA,FALSE
"Wood","木材，ウイグルマッチング，外から41年輪目",NA,FALSE
"Wood","木材，ウイグルマッチング，外から51-55年輪",NA,FALSE
"Wood","木材，ウイグルマッチング，外から51-60年輪",NA,FALSE
"Wood","木材，ウイグルマッチング，外から51年輪",NA,FALSE
"Wood","木材，ウイグルマッチング，外から51年輪目",NA,FALSE
"Wood","木材，ウイグルマッチング，外から6-10年輪",NA,FALSE
"Wood","木材，ウイグルマッチング，外から61年輪",NA,FALSE
"Wood","木材，ウイグルマッチング，外から61年輪目",NA,FALSE
"Wood","木材，ウイグルマッチング，外から71-75年輪",NA,FALSE
"Wood","木材，ウイグルマッチング，外から71年輪",NA,FALSE
"Wood","木材，ウイグルマッチング，外から81年輪",NA,FALSE
"Wood","木材，ウイグルマッチング，外から91-100年輪",NA,FALSE
"Wood","木材，ウイグルマッチング，外から91-95年輪",NA,FALSE
"Wood","木材，ウイグルマッチング，外から91年輪",NA,FALSE
"Wood","木材，ウイグルマッチング，外から91年輪目",NA,FALSE
"Wood","木材，ウイグルマッチング，柱材,外から1-5層",NA,FALSE
"Wood","木材，ウイグルマッチング，柱材,外から106-110層",NA,FALSE
"Wood","木材，ウイグルマッチング，柱材,外から121-125層",NA,FALSE
"Wood","木材，ウイグルマッチング，柱材,外から16-20層",NA,FALSE
"Wood","木材，ウイグルマッチング，柱材,外から31-35層",NA,FALSE
"Wood","木材，ウイグルマッチング，柱材,外から46-50層",NA,FALSE
"Wood","木材，ウイグルマッチング，柱材,外から61-65層",NA,FALSE
"Wood","木材，ウイグルマッチング，柱材,外から76-80層",NA,FALSE
"Wood","木材，ウイグルマッチング，柱材,外から91-95層",NA,FALSE
"Wood","木材,ウルシ,",NA,FALSE
"Wood","木材,クスノキ,",NA,FALSE
"Wood","木材,クヌギ節,",NA,FALSE
"Wood","木材,クリ,",NA,FALSE
"Wood","木材,クリ？,",NA,FALSE
"Wood","木材,コナラ属コナラ亜属コナラ節,",NA,FALSE
"Wood","木材,コナラ節,",NA,FALSE
"Wood","木材,ゴヨウマツ,樹皮直下内側最外縁",NA,FALSE
"Wood","木材,サクラ属,",NA,FALSE
"Wood","木材,スギ,",NA,FALSE
"Wood","木材,スギ,中心から180年輪目",NA,FALSE
"Wood","木材,スギ,中心から202年輪目",NA,FALSE
"Wood","木材,スギ,中心から230年輪目",NA,FALSE
"Wood","木材,スギ,外から140年輪目",NA,FALSE
"Wood","木材,スギ,外から190年輪目",NA,FALSE
"Wood","木材,タケ,胴外",NA,FALSE
"Wood","木材,ニレ属,",NA,FALSE
"Wood","木材,ヒノキ,",NA,FALSE
"Wood","木材,ムクノキ,外から1年目",NA,FALSE
"Wood","木材,ヤマグワ,",NA,FALSE
"Wood","木材,不明",NA,FALSE
"Wood","木材,不明,不明",NA,FALSE
"Wood","木材,内側",NA,FALSE
"Wood","木材,内周",NA,FALSE
"Wood","木材,最外",NA,FALSE
"Wood","木材,最外縁",NA,FALSE
"Wood","木材,外から2年輪",NA,FALSE
"Wood","木材,外側",NA,FALSE
"Wood","木材,外周",NA,FALSE
"Wood","木材,外皮付き最外",NA,FALSE
"Wood","木材,広葉樹,樹皮直下内側最外縁",NA,FALSE
"Wood","木材,木胎",NA,FALSE
"Wood","木材,木胎部",NA,FALSE
"Wood","木材,木製品柄",NA,FALSE
"Wood","木材,板材最外縁",NA,FALSE
"Wood","木材,表面5年輪",NA,FALSE
"Wood","木材,裏面",NA,FALSE
"Wood","木材,針葉樹（スギ）,不明",NA,FALSE
"Wood","木材(アオキ)",NA,FALSE
"Wood","木材(アカガシ亜属)",NA,FALSE
"Wood","木材(アカマツ)",NA,FALSE
"Wood","木材(アカメガシワ)",NA,FALSE
"Wood","木材(アサダ)",NA,FALSE
"Wood","木材(アスナロ)",NA,FALSE
"Wood","木材(アワブキ属)",NA,FALSE
"Wood","木材(イイギリ属)",NA,FALSE
"Wood","木材(イスノキ)",NA,FALSE
"Wood","木材(イスノキ）",NA,FALSE
"Wood","木材（イスノキ）",NA,FALSE
"Wood","木材(イチイガシ)",NA,FALSE
"Wood","木材(イヌエンジュ)",NA,FALSE
"Wood","木材（イヌエンジュ）",NA,FALSE
"Wood","木材(イヌガヤ)",NA,FALSE
"Wood","木材(イヌシデ節)",NA,FALSE
"Wood","木材(イヌビワ属)",NA,FALSE
"Wood","木材(イネ科)",NA,FALSE
"Wood","木材(ウツギ属)",NA,FALSE
"Wood","木材(ウメ)",NA,FALSE
"Wood","木材(ウメorモモ)",NA,FALSE
"Wood","木材(ウルシ)",NA,FALSE
"Wood","木材(エゴノキ属)",NA,FALSE
"Wood","木材(エゴノキ科エゴノキ属)",NA,FALSE
"Wood","木材(エノキ属)",NA,FALSE
"Wood","木材(オニグルミ)",NA,FALSE
"Wood","木材(カエデ属)",NA,FALSE
"Wood","木材(カキノキ属)",NA,FALSE
"Wood","木材(カシ類)",NA,FALSE
"Wood","木材(カツラ)",NA,FALSE
"Wood","木材(カツラ属)",NA,FALSE
"Wood","木材(カバノキ属)",NA,FALSE
"Wood","木材(ガマズミ属)",NA,FALSE
"Wood","木材(カマツカ)",NA,FALSE
"Wood","木材(カヤ)",NA,FALSE
"Wood","木材(カラスザンショウ)",NA,FALSE
"Wood","木材(カラマツ属)",NA,FALSE
"Wood","木材(キハダ)",NA,FALSE
"Wood","木材(キハダ属)",NA,FALSE
"Wood","木材(クスノキ)",NA,TRUE
"Charred Remain","木材(クスノキ)",NA,TRUE
"Wood","木材(クスノキ科)",NA,FALSE
"Wood","木材(クヌギ節)",NA,FALSE
"Wood","木材(クマシデ属)",NA,FALSE
"Wood","木材(クマシデ属イヌシデ節)",NA,FALSE
"Wood","木材(クマノミズキ類)",NA,FALSE
"Wood","木材(クマヤナギ属)",NA,FALSE
"Wood","木材(クリ)",NA,FALSE
"Wood","木材(クリ）",NA,FALSE
"Wood","木材（クリ）",NA,FALSE
"Wood","木材(クリ近似種)",NA,FALSE
"Wood","木材(クルミ属)",NA,FALSE
"Wood","木材(クロマツ)",NA,FALSE
"Wood","木材(クワ属)",NA,FALSE
"Wood","木材(クワ科クワ属)",NA,FALSE
"Wood","木材(ケヤキ)",NA,FALSE
"Wood","木材(ケンポナシ)",NA,FALSE
"Wood","木材(ケンポナシ属)",NA,FALSE
"Wood","木材(コウヤマキ)",NA,FALSE
"Wood","木材(コナラ)",NA,FALSE
"Wood","木材(コナラ亜属)",NA,FALSE
"Wood","木材(コナラ亜属クヌギ節)",NA,FALSE
"Wood","木材(コナラ属)",NA,FALSE
"Wood","木材(コナラ属アカガシ亜属)",NA,TRUE
"Charred Remain","木材(コナラ属アカガシ亜属)",NA,TRUE
"Wood","木材(コナラ属クヌギ節)",NA,FALSE
"Wood","木材(コナラ属コナラ亜属)",NA,FALSE
"Wood","木材(コナラ属コナラ亜属クヌギ)",NA,FALSE
"Wood","木材(コナラ属コナラ亜属クヌギ節)",NA,FALSE
"Wood","木材(コナラ属コナラ亜属コナラ節)",NA,FALSE
"Wood","木材(コナラ属コナラ節)",NA,FALSE
"Wood","木材(コナラ節)",NA,FALSE
"Wood","木材(ゴヨウマツ)",NA,FALSE
"Wood","木材(サイカチ近似種)",NA,FALSE
"Wood","木材(サカキ)",NA,FALSE
"Wood","木材(サクラ属､17年輪目)",NA,FALSE
"Wood","木材(サクラ属､1年輪目)",NA,FALSE
"Wood","木材(サクラ属)",NA,FALSE
"Wood","木材(サワグルミ)",NA,FALSE
"Wood","木材(サワラ)",NA,FALSE
"Wood","木材(シイ属)",NA,FALSE
"Wood","木材（シイ属）",NA,FALSE
"Wood","木材(シキミ)",NA,FALSE
"Wood","木材(シャシャンボ)",NA,FALSE
"Wood","木材(スギ)",NA,FALSE
"Wood","木材(スダジイ)",NA,TRUE
"Charred Remain","木材(スダジイ)",NA,TRUE
"Wood","木材(センダン)",NA,FALSE
"Wood","木材(タイミンタチバナ)",NA,FALSE
"Wood","木材(タケ亜科)",NA,FALSE
"Wood","木材(タブノキ)",NA,FALSE
"Wood","木材（タブノキ）",NA,FALSE
"Wood","木材(タブノキ属)",NA,FALSE
"Wood","木材(ツガ)",NA,FALSE
"Wood","木材(ツバキ属)",NA,FALSE
"Wood","木材(ツブラジイ)",NA,FALSE
"Wood","木材（ツブラジイ）",NA,FALSE
"Wood","木材(ツワラ)",NA,FALSE
"Wood","木材(トウヒ属)",NA,FALSE
"Wood","木材(トチノキ)",NA,FALSE
"Wood","木材(トチノキとアカガシ亜属)",NA,FALSE
"Wood","木材(トネリコ属)",NA,FALSE
"Wood","木材（トネリコ属）",NA,FALSE
"Wood","木材(トネリコ属シオジ節)",NA,FALSE
"Wood","木材(トネリコ属の一種)",NA,FALSE
"Wood","木材(トネリコ属近似種)",NA,FALSE
"Wood","木材(ナナカマド属)",NA,FALSE
"Wood","木材(ナラ類)",NA,FALSE
"Wood","木材(ニガキ)",NA,FALSE
"Wood","木材(ニレ属)",NA,FALSE
"Wood","木材(ヌルデ)",NA,FALSE
"Wood","木材(ネジキ)",NA,FALSE
"Wood","木材(ネズコ)",NA,FALSE
"Wood","木材(ノグルミ)",NA,FALSE
"Wood","木材(ハイノキ属ハイノキ節)",NA,FALSE
"Wood","木材(ハイノキ節)",NA,FALSE
"Wood","木材(バラ属)",NA,FALSE
"Wood","木材(バラ属）",NA,FALSE
"Wood","木材(バラ科ナシ亜科)",NA,FALSE
"Wood","木材(ハリギリ)",NA,FALSE
"Wood","木材(ハンノキ)",NA,FALSE
"Wood","木材(ハンノキ亜属)",NA,FALSE
"Wood","木材(ハンノキ属)",NA,FALSE
"Wood","木材(ハンノキ属の一種)",NA,FALSE
"Wood","木材(ハンノキ属ハンノキ亜属?)",NA,FALSE
"Wood","木材(ハンノキ属ハンノキ亜属)",NA,FALSE
"Wood","木材(ハンノキ属ヤシャブシ亜属)",NA,FALSE
"Wood","木材(ハンノキ節)",NA,FALSE
"Wood","木材(ヒサカキ)",NA,FALSE
"Wood","木材(ヒサカキ）",NA,FALSE
"Wood","木材(ヒトツバタゴ)",NA,FALSE
"Wood","木材(ヒノキ)",NA,FALSE
"Wood","木材(ヒノキ属)",NA,FALSE
"Wood","木材(ヒノキ属の一種)",NA,FALSE
"Wood","木材(ヒノキ科)",NA,FALSE
"Wood","木材(ブナ)",NA,FALSE
"Wood","木材(ブナ属)",NA,FALSE
"Wood","木材(ホルトノキ属)",NA,FALSE
"Wood","木材(マキ属)",NA,FALSE
"Wood","木材(マツ)",NA,FALSE
"Wood","木材(マツ属orクリ)",NA,FALSE
"Wood","木材(マツ属単維管束亜属)",NA,FALSE
"Wood","木材(マツ属複維官束亜属",NA,FALSE
"Wood","木材(マツ属複維束亜属)",NA,FALSE
"Wood","木材(マツ属複維管束亜属)",NA,FALSE
"Wood","木材(マツ複維管束亜属)",NA,FALSE
"Wood","木材(マユミ)",NA,FALSE
"Wood","木材(ミズキ)",NA,FALSE
"Wood","木材(ミズキ属)",NA,FALSE
"Wood","木材(ムクノキ)",NA,FALSE
"Wood","木材(ムクロジ)",NA,FALSE
"Wood","木材(ムラサキシキブ属)",NA,FALSE
"Wood","木材(モクレン属)",NA,FALSE
"Wood","木材(モミ)",NA,FALSE
"Wood","木材(モミ属)",NA,FALSE
"Wood","木材(ヤナギ)",NA,FALSE
"Wood","木材(ヤナギ属)",NA,FALSE
"Wood","木材(ヤブツバキ)",NA,FALSE
"Wood","木材(ヤブニッケイ)",NA,TRUE
"Charred Remain","木材(ヤブニッケイ)",NA,TRUE
"Wood","木材(ヤマグワ、カラスザンショウ)",NA,FALSE
"Wood","木材(ヤマグワ)",NA,FALSE
"Wood","木材(ユズリハ属)",NA,FALSE
"Wood","木材(リンボク)",NA,FALSE
"Wood","木材(丸木舟:センダン)",NA,FALSE
"Wood","木材(大:スダジイ)",NA,FALSE
"Wood","木材(小:シキミ)",NA,FALSE
"Wood","木材(広葉樹･環孔材)",NA,FALSE
"Wood","木材(広葉樹)",NA,FALSE
"Wood","木材（広葉樹）",NA,FALSE
"Wood","木材（広葉樹枝）",NA,FALSE
"Wood","木材(広葉樹環孔材)",NA,FALSE
"Wood","木材(散孔材)",NA,FALSE
"Wood","木材(木杭:広葉樹)",NA,FALSE
"Wood","木材(柱材:ハイノキ属)",NA,FALSE
"Wood","木材(樹木)",NA,FALSE
"Wood","木材(樹皮)",NA,FALSE
"Wood","木材(環孔材)",NA,FALSE
"Wood","木材(竹)",NA,FALSE
"Wood","木材（臼･クスノキ）",NA,FALSE
"Wood","木材(舟)",NA,FALSE
"Wood","木材(落葉広葉樹)",NA,FALSE
"Wood","木材(針葉樹･スギ?)",NA,FALSE
"Wood","木材(針葉樹)",NA,FALSE
"Wood","木材(針葉樹の樹皮)",NA,FALSE
"Wood","木材と泥炭",NA,FALSE
"Wood","木材樹皮(広葉樹)",NA,FALSE
"Wood","木材片",NA,FALSE
"Wood","木材片,炭化材片",NA,FALSE
"Wood","木材遺体(モクレン属)",NA,FALSE
"Wood","木杭",NA,FALSE
"Wood","木杭(K20011)",NA,FALSE
"Wood","木杭(K22666)",NA,FALSE
"Wood","木杭(ハイノキ属)",NA,FALSE
"Wood","木杭(マツ属)",NA,FALSE
"Wood","木杭K20011",NA,FALSE
"Wood","木杭K22666",NA,FALSE
"Wood","木杭№2",NA,FALSE
"Wood","木杭№3",NA,FALSE
"Wood","木枝片",NA,FALSE
"Wood","木柱",NA,FALSE
"Wood","木株",NA,FALSE
"Charred Remain","木炭",NA,FALSE
"Charred Remain","木炭・木片",NA,FALSE
"Charred Remain","木炭・炭化物",NA,FALSE
"Charred Remain","木炭(アサダ)",NA,FALSE
"Charred Remain","木炭(アスナロ属)",NA,FALSE
"Charred Remain","木炭(エノキ属)",NA,FALSE
"Charred Remain","木炭(カバノキ属)",NA,FALSE
"Charred Remain","木炭(クヌギ節)",NA,FALSE
"Charred Remain","木炭(クリ、ハリギリ)",NA,FALSE
"Charred Remain","木炭(クリ)",NA,FALSE
"Charred Remain","木炭(クリ属)",NA,FALSE
"Charred Remain","木炭(コナラ亜属クヌギ節)",NA,FALSE
"Charred Remain","木炭(コナラ亜属コナラ節)",NA,FALSE
"Charred Remain","木炭（コナラ亜属コナラ節）",NA,FALSE
"Charred Remain","木炭(コナラ属?）",NA,FALSE
"Charred Remain","木炭(コナラ属クヌギ節)",NA,FALSE
"Charred Remain","木炭(コナラ属コナラ亜属クヌギ節)",NA,FALSE
"Charred Remain","木炭(コナラ属コナラ亜属コナラ節)",NA,FALSE
"Charred Remain","木炭(シキミ)",NA,FALSE
"Charred Remain","木炭(ススキ属･タケ亜科)",NA,FALSE
"Charred Remain","木炭（トネリコ属）",NA,FALSE
"Charred Remain","木炭(トネリコ属シオジ節)",NA,FALSE
"Charred Remain","木炭(バラ科ナシ亜科)",NA,FALSE
"Charred Remain","木炭(ハリギリ)",NA,FALSE
"Charred Remain","木炭(ヒノキ属)",NA,FALSE
"Charred Remain","木炭(ブナ属)",NA,FALSE
"Charred Remain","木炭(モクレン属、クリ属)",NA,FALSE
"Charred Remain","木炭(モクレン属)",NA,FALSE
"Charred Remain","木炭（土器内部の土から検出）",NA,FALSE
"Charred Seed","木炭（炭化クルミ片）",NA,FALSE
"Charred Remain","木炭（炭化材）",NA,FALSE
"Charred Remain","木炭(針葉樹,　ツガまたはモミ)",NA,FALSE
"Charred Remain","木炭片",NA,FALSE
"Charred Remain","木炭粒",NA,FALSE
"Wood","木片",NA,TRUE
"Soil","木片",NA,TRUE
"Wood","木片(アスナロ)",NA,FALSE
"Wood","木片(イスノキ)",NA,FALSE
"Wood","木片(イチイガシ)",NA,FALSE
"Wood","木片（イチイ科カヤ属カヤ）",NA,FALSE
"Wood","木片(ウツギ属)",NA,FALSE
"Wood","木片(ウルシ科ウルシ属)",NA,FALSE
"Wood","木片(エゴノキ属)",NA,FALSE
"Wood","木片(エノキ属)",NA,FALSE
"Wood","木片(オニグルミ)",NA,FALSE
"Wood","木片（オニグルミ）",NA,FALSE
"Wood","木片(カエデ属)",NA,FALSE
"Wood","木片(カエデ科カエデ属)",NA,FALSE
"Wood","木片(カツラ)",NA,FALSE
"Wood","木片(カヤ)",NA,FALSE
"Wood","木片(カラマツ属)",NA,FALSE
"Wood","木片(キハダ)",NA,FALSE
"Charred Remain","木片(クスノキ)",NA,TRUE
"Wood","木片(クスノキ)",NA,TRUE
"Wood","木片(クスノキ科)",NA,FALSE
"Wood","木片（クスノキ科タブノキ属）",NA,FALSE
"Wood","木片(クヌギ)",NA,FALSE
"Wood","木片(クヌギ節)",NA,FALSE
"Wood","木片(クリ)",NA,FALSE
"Wood","木片(クリ）",NA,FALSE
"Wood","木片(クワ属)",NA,FALSE
"Wood","木片（クワ科クワ属？）",NA,FALSE
"Wood","木片(ケヤキ)",NA,FALSE
"Wood","木片（ケヤキ）",NA,FALSE
"Wood","木片(ケンポナシ属)",NA,FALSE
"Wood","木片(コナラ亜属)",NA,FALSE
"Wood","木片(コナラ属コナラ亜属クヌギ節)",NA,FALSE
"Wood","木片(コナラ属コナラ亜属コナラ節)",NA,FALSE
"Wood","木片(コナラ節)",NA,FALSE
"Wood","木片(サカキ)",NA,FALSE
"Wood","木片(サクラ属)",NA,FALSE
"Wood","木片(サワグルミ近似種)",NA,FALSE
"Wood","木片(サワラ)",NA,FALSE
"Wood","木片(シキミ)",NA,FALSE
"Wood","木片(シナノキ属)",NA,FALSE
"Wood","木片(スギ)",NA,FALSE
"Wood","木片(スダジイ)",NA,FALSE
"Wood","木片（センダン科センダン属センダン）",NA,FALSE
"Wood","木片(タケ亜科)",NA,FALSE
"Wood","木片(ツガ)",NA,FALSE
"Wood","木片（ツバキ科ツバキ属）",NA,FALSE
"Wood","木片(ツブラジイ)",NA,FALSE
"Wood","木片(トチノキ)",NA,FALSE
"Wood","木片(トネリコ属)",NA,FALSE
"Wood","木片（トネリコ属）",NA,FALSE
"Wood","木片(ハンノキ亜属)",NA,FALSE
"Wood","木片(ハンノキ属ハンノキ節)",NA,FALSE
"Wood","木片(ヒノキ)",NA,FALSE
"Charred Remain","木片(ヒノキ属類似）",NA,FALSE
"Wood","木片(ヒノキ科)",NA,FALSE
