Phase,PhaseEN
　,NA
_,NA
〜9世紀前半,NA
(TK47〜MT15期),NA
(月影Ⅰ式),NA
(猫橋式)(白江式),NA
(磯部式～)戸水式,NA
(磯部式～）戸水式,NA
1.7万〜1.6万年前,NA
10〜11世紀,NA
10〜12世紀,NA
10000〜13000B.C.,NA
1060〜1080年頃もしくは11世紀末〜12世紀前葉,NA
10世紀,NA
10世紀〜11世紀,NA
10世紀まで,NA
10世紀中〜後葉?,NA
10世紀中葉,NA
10世紀中葉〜11世紀初頭,NA
10世紀中葉以降,NA
10世紀中頃,NA
10世紀中頃以降,NA
10世紀代,NA
10世紀代以降,NA
10世紀以前,NA
10世紀以降,NA
10世紀初頭,NA
10世紀初頭頃,NA
10世紀前〜中葉,NA
10世紀前〜中葉?,NA
10世紀前半,NA
10世紀前半〜11世紀前半,NA
10世紀前半から中葉,NA
10世紀前半以前,NA
10世紀前半以降,NA
10世紀前半期,NA
10世紀前半頃,NA
10世紀前後,NA
10世紀前葉,NA
10世紀前葉〜中葉,NA
10世紀前葉以前,NA
10世紀前葉以降,NA
10世紀前葉頃,NA
10世紀半ば,NA
10世紀後半,NA
10世紀後半〜11世紀,NA
10世紀後半〜11世紀代、14世紀後半〜15世紀前半,NA
10世紀後半〜11世紀前半,NA
10世紀後半〜15世紀前半,NA
10世紀後半以降,NA
10世紀後葉,NA
10世紀第1四半期〜中葉,NA
10世紀第1四半期頃,NA
10世紀第2四半期以降,NA
10世紀第一四半期,NA
10世紀頃,NA
11〜12世紀,NA
11〜13世紀,NA
11世紀,NA
11世紀〜12世紀,NA
11世紀〜12世紀前半,NA
11世紀〜17世紀,NA
11世紀中頃,NA
11世紀中頃〜13世紀前半,NA
11世紀代,NA
11世紀初頭,NA
11世紀前半,NA
11世紀前半〜12世紀中頃,NA
11世紀前半〜12世紀半ば,NA
11世紀半ば〜12世紀後半,NA
11世紀後半〜12世紀,NA
11世紀後半〜12世紀中葉頃,NA
11世紀後半〜12世紀代,NA
11世紀後半〜13世紀初頭,NA
11世紀頃,NA
12〜15世紀,NA
12〜16世紀,NA
12世紀,NA
12世紀?,NA
12世紀中頃,NA
12世紀前半,NA
12世紀後半,NA
12世紀後半〜13世紀,NA
12世紀後半〜13世紀初頭,NA
12世紀後半〜13世紀前半,NA
12世紀後半〜13世紀前半頃,NA
12世紀後半〜13世紀半ば,NA
12世紀後半〜15世紀,NA
12世紀後半以降,NA
12世紀後半頃,NA
12世紀後年,NA
12世紀後葉〜14世紀前葉,NA
12世紀末,NA
12世紀末〜14世紀,NA
12世紀頃,NA
12世紀頃まで,NA
13〜14世紀,NA
13〜14世紀代,NA
13〜14世紀頃,NA
13〜15世紀,NA
13〜16世紀,NA
13000年前,NA
1360年銘の板碑,NA
1361年の正平(康安)地震に伴う?,NA
13c後半以降,NA
13世紀,NA
13世紀〜14世紀,NA
13世紀中頃,NA
13世紀中頃〜14世紀中頃,NA
13世紀代,NA
13世紀代?,NA
13世紀代から17･18世紀,NA
13世紀以前に掘削,NA
13世紀前半,NA
13世紀前半〜14世紀頃,NA
13世紀前半頃,NA
13世紀前後,NA
13世紀後半,NA
13世紀後半〜14世紀,NA
13世紀後半〜14世紀初頭,NA
13世紀後半〜14世紀前半,NA
13世紀後葉,NA
13世紀後葉〜14世紀中葉,NA
13世紀後葉〜末葉,NA
13世紀末〜14世紀,NA
14〜15世紀,NA
14〜17世紀,NA
1471年(文明ボラ降下)直前ごろ,NA
14世紀,NA
14世紀〜15世紀,NA
14世紀〜16世紀,NA
14世紀中葉,NA
14世紀中葉〜15世紀初頭,NA
14世紀中頃〜後半,NA
14世紀代,NA
14世紀代(14〜15世紀),NA
14世紀代(14〜16世紀),NA
14世紀代から15世紀,NA
14世紀初頭,NA
14世紀前半,NA
14世紀前半〜中頃,NA
14世紀後半,NA
14世紀後半〜15世紀,NA
14世紀後半〜15世紀前半,NA
14世紀後半〜15世紀後半,NA
14世紀後葉〜15世紀前半,NA
14世紀末〜15世紀前半,NA
14世紀末～15世紀前半,NA
14世紀頃,NA
15〜16世紀,NA
15〜16世紀頃,NA
15〜18世紀代,NA
15～16世紀,NA
15800年前頃,NA
15から16世紀,NA
15世紀,NA
15世紀〜16世紀前半,NA
15世紀?,NA
15世紀中葉,NA
15世紀中頃〜15世紀末,NA
15世紀中頃〜後半,NA
15世紀代,NA
15世紀代(14〜16世紀),NA
15世紀以降,NA
15世紀前半,NA
15世紀前葉,NA
15世紀後半,NA
15世紀後半〜16世紀中頃,NA
15世紀後半〜16世紀代,NA
15世紀後半〜16世紀前半,NA
